id,scene,question,answer,evidence,qa_type
21,11、INT. THE NELSON KITCHEN - EVENING,What causes Ted to shudder when his mom serves meatloaf?,"He hates meatloaf, which represents his dissatisfaction with his life.","Ted's Mom...slides a slab of...MEAT LOAF onto his plate with an unpleasant thud. Ted shudders... If I never eat another bite of meat loaf again, it'll be too soon.",causal/relational queries
22,8、INT. TEACHER'S LOUNGE - TECUMSEH HIGH SCHOOL - DAY,Why does Principal Merkin confront Miss Pratt?,She wrote an article exposing teachers' hypocrisy.,Principal Merkin... 'Exposing Hypocrisy in the Morons who Teach Us.' That's the little bastard's motto!,causal/relational queries
23,40、EXT. JACUZZI - NIGHT,What is Ted doing while chatting with Uncle Billy?,"Relaxes in the Jacuzzi, sipping champagne.","Ted relaxes in the Jacuzzi, sipping champagne. Thrilled, elated, blasted. Uncle Billy sits across from him.",detailed description
24,64、INT. BUILDING CORRIDOR - DAY,What actions does Ted perform as he approaches the office?,"Dashes up the stairs, greets the women, and moves toward the office.","We follow Ted as he dashes up the stairs, along the line of women, towards an office.",detailed description
25,64、INT. BUILDING CORRIDOR - DAY,How does Charlie appear when Ted arrives?,Frazzled.,Charlie looks frazzled.,detailed description
26,19、EXT. LIMO - DAY - MOVING,"In [19、EXT. LIMO - DAY - MOVING], What is Ted's emotional state when he waves?",Timid,"He waves back, very timidly.",character states
27,47、EXT. NELSON HOUSE - DAY,When does the phone ring?,After the news vans arrive.,Another delivery truck arrives. Then the local news vans. ... The phone RINGS.,temporal references
28,"25、INT. ""HEAVEN"" MANSION - GAME ROOM - DAY","In [25、INT. ""HEAVEN"" MANSION - GAME ROOM - DAY], How is Ted behaving?",Impressed but holding it together,Ted's equally impressed but holding it together.,character states
29,"25、INT. ""HEAVEN"" MANSION - GAME ROOM - DAY","In [25、INT. ""HEAVEN"" MANSION - GAME ROOM - DAY], What is Charlie's emotional state?",Amazed and gawking,Charlie shakes his head in amazement. Charlie continues to gawk.,character states
30,28、INT. THE NELSON HOME - MASTER BEDROOM - NIGHT,"In [28、INT. THE NELSON HOME - MASTER BEDROOM - NIGHT], What is Dad's behavioral state?",Hurrying and adjusting his pajamas,"Dad hurries out of the bathroom, hiking up his pajamas.",character states
31,46、INT. NELSON FAMILY ROOM - SAME,When was Ted's life transformed?,When he found out he was rich,his life was transformed overnight when he found out he was rich,temporal references
32,2、EXT. TECUMSEH HIGH SCHOOL - DAY,What does TED say about himself in his voiceover?,I was hopeless back then.,"TED (V.O.) (CONT'D) You're disappointed, I know. I admit, I was hopeless back then.",dialogue/beliefs
33,28、INT. THE NELSON HOME - MASTER BEDROOM - NIGHT,"In [28、INT. THE NELSON HOME - MASTER BEDROOM - NIGHT], What is Mom's emotional state?",Nervous,Mom waits nervously for the phone to ring.,character states
34,42、INT. HOTEL BALLROOM - DAY | 46、INT. NELSON FAMILY ROOM - SAME | 37、INT. A CHIC EYEWEAR BOUTIQUE - DAY,Why does Ted decide to buy the entire case of sunglasses?,"Ted decides to buy the entire case of sunglasses after Ginger reminds him of his new identity as the heir to a billion-dollar empire, prompting him to embrace his sudden wealth and elevated status.","Ginger presses Ted to recognize that he is the heir to a billion-dollar empire with vast wealth and staff, which leads him to quietly put on the sunglasses and purchase the whole case.",causal/relational queries
35,"32、INT. ""HEAVEN"" MANSION - MASTER BEDROOM - NIGHT | 22、EXT. ""HEAVEN"" MANSION - DAY",Why did Ted tell Charlie to leave on the next plane home?,"Ted told Charlie to leave because Charlie made an inappropriate comment about spitting in response to Helen McDole's emotional greeting, which embarrassed Ted.","Helen McDole embraced Ted warmly and made a sentimental comment, and Charlie responded with a crude remark about Ted's inability to spit, after which Ted immediately told him, 'You're on the next plane home.'",causal/relational queries
36,"17、INT. LAX - TERMINAL - DAY | 22、EXT. ""HEAVEN"" MANSION - DAY",What does Helen McDole state about Ted's resemblance to his father?,Helen McDole states that Ted is the spitting image of his father.,"She embraced him warmly and said he was the spitting image of his father, expressing how proud he would have been.",character states
37,8、INT. TEACHER'S LOUNGE - TECUMSEH HIGH SCHOOL - DAY | 9、INT. TED'S OFFICE - NEWSROOM - DAY | 10、INT. TECUMSEH HIGH SCHOOL - MEN'S ROOM - DAY,What does Julie state about the school paper when speaking with Ted?,Julie states that the school paper is a form of torture for someone like her.,"Julie scoffs, calling the paper a form of torture for someone like her.",character states
38,"4、INT. TECUMSEH HIGH SCHOOL - NEWSROOM - DAY | 9、INT. TED'S OFFICE - NEWSROOM - DAY | 10、INT. TECUMSEH HIGH SCHOOL - MEN'S ROOM - DAY | 22、EXT. ""HEAVEN"" MANSION - DAY",What does Ted state about Charlie's departure?,Ted states that Charlie is on the next plane home.,"Ted turns to Charlie sharply and says, 'You're on the next plane home.'",character states
39,"32、INT. ""HEAVEN"" MANSION - MASTER BEDROOM - NIGHT",Why did Ted and Charlie hide the torn halves of the red silk panties when the butler entered the room?,"Ted and Charlie hid the torn halves because they were embarrassed and caught in an awkward situation involving intimate lingerie belonging to Ted's biological mother, and they did not want the butler to see what they had been doing.","Both men froze, each holding a piece, when the bedroom door opened to reveal the English butler. Without a word, they quickly hid the torn halves behind their backs. The butler glanced at them, apologized for the intrusion, and quietly left the room.",causal/relational queries
40,9、INT. TED'S OFFICE - NEWSROOM - DAY | 11、INT. THE NELSON KITCHEN - EVENING,What does Julie state about the situation after helping Ted up from the hallway floor?,Julie states that the situation is an actual emergency.,"She looks at him and says, 'No, Ted. This is an actual emergency.'",character states
41,"17、INT. LAX - TERMINAL - DAY | 22、EXT. ""HEAVEN"" MANSION - DAY | 27、EXT. ""HEAVEN"" MANSION - SWIMMING POOL - DAY",What does Helen McDole state about Ted's resemblance to his father?,Helen McDole states that Ted is the spitting image of his father.,"She embraced him warmly and said he was the spitting image of his father, expressing how proud he would have been.",character states
42,40、EXT. JACUZZI - NIGHT | 37、INT. A CHIC EYEWEAR BOUTIQUE - DAY,What does Ginger state about Ted's potential identity during their conversation at the store?,"Ginger states that Ted is the heir to a billion-dollar empire with thousands of staff and unimaginable wealth, suggesting he has a taste for the good life beyond his ordinary existence.","She asks if he has a taste for the good life, telling him he is the heir to a billion-dollar empire, that everything is his. She repeats this by saying he is the heir to a billion-dollar empire, with thousands of staff and unimaginable wealth.",character states
43,"17、INT. LAX - TERMINAL - DAY | 50、EXT. TECUMSEH HIGH SCHOOL - MORNING | 27、EXT. ""HEAVEN"" MANSION - SWIMMING POOL - DAY",What does Ted state about his identity when approaching the woman with the sign?,Ted states that he is Ted Nelson.,"Ted steps forward. 'Hi, I'm Ted Nelson,' he says.",character states
44,4、INT. TECUMSEH HIGH SCHOOL - NEWSROOM - DAY | 9、INT. TED'S OFFICE - NEWSROOM - DAY | 11、INT. THE NELSON KITCHEN - EVENING,What does Julie state about Ted's situation after he is rejected by Christy?,Julie states that Ted's situation is an actual emergency.,"She looks at him and says, 'No, Ted. This is an actual emergency.'",character states
45,3、INT. TECUMSEH HIGH SCHOOL - CORRIDOR - DAY | 9、INT. TED'S OFFICE - NEWSROOM - DAY | 10、INT. TECUMSEH HIGH SCHOOL - MEN'S ROOM - DAY | 11、INT. THE NELSON KITCHEN - EVENING,What does Ted say about life in relation to meatloaf?,Ted says there must be more to life than meatloaf.,"Ted lifts his head, looks at himself in the mirror, and appears distressed. He says there must be more to life than meatloaf.",character states
46,"9、INT. TED'S OFFICE - NEWSROOM - DAY | 10、INT. TECUMSEH HIGH SCHOOL - MEN'S ROOM - DAY | 22、EXT. ""HEAVEN"" MANSION - DAY",What does Ted state about his life in relation to meatloaf?,Ted states that there must be more to life than meatloaf.,"Ted lifts his head, still looking into the mirror, his face twisted with distress. He says there must be more to life than meatloaf.",character states
47,"7、INT. BASKETBALL COURT - TECUMSEH HIGH SCHOOL - DAY | 9、INT. TED'S OFFICE - NEWSROOM - DAY | 10、INT. TECUMSEH HIGH SCHOOL - MEN'S ROOM - DAY | 22、EXT. ""HEAVEN"" MANSION - DAY",What does Charlie state about Ted's ability to spit?,"Charlie states that Ted cannot spit and has never been able to do so, adding that he has tried to teach him but that it comes from the diaphragm.","Charlie replies, 'He never spits, ma'am. Ever. He can't even get a good hocker going. I've tried to teach him. It comes from the diaphragm.'",character states
48,"18、INT. STRETCH LIMO - DAY | 36、INT. CLOTHING STORE - DAY | 33、INT. ""HEAVEN"" MANSION - GARAGE - THE NEXT MORNING",What does Ginger say about her father's view on money?,Ginger says her father once said that money matters only to the man who doesn't have it.,"Ginger runs her hand along his arm and leans in close, whispering in her ear. She tells him her father once said, 'Money matters only to the man who doesn't have it.'",character states
