id,scene,question,answer,evidence,qa_type
27,"52、INT. QUEEN'S PRIVATE QUARTERS, WHITEHALL PALACE - DAY","In [52、INT. QUEEN'S PRIVATE QUARTERS, WHITEHALL PALACE - DAY], What emotional state does Elizabeth show after listening to Walsingham?",Displays anger,anger shows on her face,character states
28,70、EXT. THAMES - DUSK,"In [70、EXT. THAMES - DUSK], What returns down the night river?",The royal barge,The royal barge returns down the night river.,objects/props
29,7、EXT. THAMES - DAY,What belief does Hatton express about the nation?,Half the nation clings to the old superstitions.,HATTON (V.O.) We believe half the nation clings to the old superstitions.,dialogue/beliefs
30,"44、INT. HALLWAY, WHITEHALL PALACE - DAY",When does Bess look back?,After Walsingham throws a glance.,"Bess looks back. Walsingham is also looking back, and seems to be watching her.",temporal references
31,27、INT. WALSINGHAM'S HOUSE - EVENING,What action does Walsingham take after embracing William?,He pushes him back to take a good look at him.,"WALSINGHAM
You look terrible... They embrace. Then Walsingham pushes him back to take a good look at him.",detailed description
32,19、EXT. WHITEHALL PALACE - DAY,"In [19、EXT. WHITEHALL PALACE - DAY], Where does the crowd gather to see the Queen?",The route from the Presence Chamber to the Chapel Royal,This is the route from the Presence Chamber to the Chapel Royal.,scene localization
33,"8、INT. PRIVY CHAMBER, WHITEHALL PALACE - DAY",What does Elizabeth believe fear leads to?,Fear creates fear.,"Fear creates fear, sir.",causal/relational queries
34,"29、INT. GREAT HALL, WHITEHALL PALACE - DAY",How does the Archduke Charles deliver his speech?,Trembling with shyness and struggling through his speech.,"ARCHDUKE CHARLES is still a boy: sixteen years old, slight, pale, trembling with shyness. He struggles through his rehearsed speech.",detailed description
35,30、INT. QUEEN'S PRIVATE QUARTERS - DAY,"What is Bess doing, and how is Elizabeth behaving during this interaction?","Bess is reading to Elizabeth, who is watching her but her mind is elsewhere.","Bess is reading to Elizabeth. Elizabeth watching her, her mind elsewhere.",detailed description
36,"11、EXT THE TYGER, ENGLISH CHANNEL - DAY","In [11、EXT THE TYGER, ENGLISH CHANNEL - DAY], Where is Raleigh standing as the ship approaches the cliffs?",On the prow of a war-ship,Raleigh is standing on the prow of a war-ship as it cuts through the water toward the white cliffs of Dover.,scene localization
37,"8、INT. PRIVY CHAMBER, WHITEHALL PALACE - DAY",Why does Howard argue they must act?,Their inaction is taken to be weakness.,Our inaction is taken to be weakness.,causal/relational queries
38,26、EXT. WOOD - DUSK,How does Savage react upon realizing Babington's intention?,Blubbering with fear,Now he's blubbering with fear.,detailed description
39,50、INT. TORTURE ROOM - DAY,What does Francis Throckmorton state about his soul during the interrogation?,Francis Throckmorton states that his soul will soon be free.,Throckmorton struggles to lift his head and replies that his soul will go free soon.,character states
40,"23、INT. ANTECHAMBER, WHITEHALL PALACE - DAY | 37、INT PRESENCE CHAMBER, WHITEHALL PALACE - DAY | 24、INT. GREAT HALL, WHITEHALL PALACE - DAY",What does Raleigh state about his loyalty to Queen Elizabeth?,Raleigh states that he is the most loyal subject of Queen Elizabeth.,"Raleigh declares himself the most loyal subject of Queen Elizabeth, then bows and departs with his men.",character states
41,"25、INT. HALLWAY, WHITEHALL PALACE - DAY | 24、INT. GREAT HALL, WHITEHALL PALACE - DAY",What does Don Guerau do when Raleigh presents the tobacco leaf?,"Don Guerau wrinkles his nose, complains of the smell, and exits the chamber in anger upon realizing he is being mocked.","Don Guerau wrinkles his nose, complaining of the smell, and realizing Raleigh is mocking him, turns and exits the chamber in anger.",character states
42,"38、INT QUEEN'S PRIVATE QUARTERS - DAY | 37、INT PRESENCE CHAMBER, WHITEHALL PALACE - DAY | 24、INT. GREAT HALL, WHITEHALL PALACE - DAY",What does Elizabeth state about Raleigh during the conclusion of his audience?,"Elizabeth makes a wry remark about Raleigh's appearance, which draws faint laughter from the court.","She makes a wry remark about his appearance, drawing faint laughter from the court.",character states
43,"37、INT PRESENCE CHAMBER, WHITEHALL PALACE - DAY | 38、INT QUEEN'S PRIVATE QUARTERS - DAY | 37、INT PRESENCE CHAMBER, WHITEHALL PALACE - DAY | 29、INT. GREAT HALL, WHITEHALL PALACE - DAY",What does Bess state she will do after Raleigh asks what she wants?,Bess states that she will think of something.,"When he asks what she wants, their eyes meet, and a quiet tension passes between them. She says she will think of something and hurries away to follow the Queen.",character states
44,"24、INT. GREAT HALL, WHITEHALL PALACE - DAY | 37、INT PRESENCE CHAMBER, WHITEHALL PALACE - DAY | 24、INT. GREAT HALL, WHITEHALL PALACE - DAY",What does Queen Elizabeth state about Archduke Charles's suitability as a match?,Queen Elizabeth states that Archduke Charles is more suited in age to Bess than to herself.,Elizabeth observes that he is more suited in age to Bess than to herself and asks how old he is.,character states
45,"27、INT. WALSINGHAM'S HOUSE - EVENING | 28、INT. LIVING ROOM, WALSINGHAM'S HOUSE - NIGHT",What does William state about the possibility of reconciling the church?,William states that he doubts the church can be reconciled because compromise is no longer in fashion and both sides believe there is only one truth and one God.,"William doubted the church could be reconciled, saying compromise was no longer in fashion and that both sides believed there was only one truth and one God.",character states
46,"23、INT. ANTECHAMBER, WHITEHALL PALACE - DAY | 25、INT. HALLWAY, WHITEHALL PALACE - DAY",What does Raleigh state about his situation before Bess helped him?,Raleigh states that he would still be in outer darkness if not for Bess's help.,"Raleigh thanks Bess directly, saying he would still be in outer darkness without her help.",character states
47,30、INT. QUEEN'S PRIVATE QUARTERS - DAY,What does Bess state about the man's perspective compared to others at court?,Bess states that it is refreshing to meet a man who looks beyond the court.,Bess says it is refreshing to meet a man who looks beyond the court.,character states
48,"28、INT. LIVING ROOM, WALSINGHAM'S HOUSE - NIGHT",Why does Ursula ask William to speak to Walsingham about resting?,Ursula asks William to speak to Walsingham because she believes Walsingham will listen to his brother and hopes William can convince him to take better care of his health.,"Ursula insists Walsingham take better care of himself and turns to William, urging him to speak to his brother, reminding him that Walsingham is his kin and should listen to him.",causal/relational queries
49,50、INT. TORTURE ROOM - DAY,What does Francis Throckmorton do when he sees his father brought into the chamber?,Francis Throckmorton cries out in anguish and pleads for it to stop before whispering a name.,"Francis cries out in anguish. He pleads for it to stop, then whispers a name.",character states
50,"27、INT. WALSINGHAM'S HOUSE - EVENING | 28、INT. LIVING ROOM, WALSINGHAM'S HOUSE - NIGHT",What does Walsingham state about the dangers of questioning the ways of God?,Walsingham states that these are dangerous times to question the ways of God.,Walsingham warns him that these are dangerous times to question the ways of God and tells him to take care.,character states
51,"28、INT. LIVING ROOM, WALSINGHAM'S HOUSE - NIGHT",Why does Walsingham encourage William to stay longer?,Walsingham encourages William to stay longer because he believes every man deserves a rest.,"Walsingham tells him not to leave too soon, adding that every man deserves a rest.",causal/relational queries
52,"14、EXT. FOREST, SPAIN - DAY",What does Father Reston state about the fires he sees in the deforested landscape?,Father Reston states that the fires are the light of purification.,He murmurs that the fires are the light of purification.,character states
53,"3、INT. HALLWAY/SALON, ESCORIAL PALACE - DAY",When do the cathedral bells begin to ring in relation to Philip's speech to the court?,The cathedral bells begin to ring after Philip speaks to the court in the grand salon.,"After Philip speaks, the cathedral bells begin to ring.",temporal references
