scene,question,answer,evidence,qa_type
31、INT. STATE DEPARTMENT. LINTON'S OFFICE - DAY,Why did Linton instruct Bob to correct the meeting minutes?,To prevent Karen from discovering the war committee,"Karen must not find out about that. She is an excitable yapping she-dog. Okay get the minutes of the meeting, we need to correct the record.",causal/relational queries
28、INT. NUMBER 10. DAY.,What causes Malcolm's frustration with the news?,Learning about colleagues via news unless they've died.,"I don't like finding out about people I work with via the news, unless they've died.",causal/relational queries
7、INT. DFI OPEN PLAN OFFICE. DAY.,"In [7、INT. DFI OPEN PLAN OFFICE. DAY.], What does Simon believe about his ability to handle the funny question?",He believes he is a funny guy with a light touch.,I'm a funny guy. With a light touch.,character states
63、EXT. ALBERT EMBANKMENT - DAY,"In [63、EXT. ALBERT EMBANKMENT - DAY], What is Malcolm's emotional state during the conversation?","Angry, as shown by expletives and threats",MALCOLM's use of 'fucking' and threats about Judy losing her job,character states
18、INT. FOREIGN OFFICE BALLROOM - DAY,"In [18、INT. FOREIGN OFFICE BALLROOM - DAY], What is Simon's emotional state at the beginning of the scene?",Annoyed,"Simon is annoyed, leading Judy and Toby out of the room",character states
56、INT. WASHINGTON HOTEL - EVENING,"In [56、INT. WASHINGTON HOTEL - EVENING], What emotional state does Malcolm express in his dialogue?",He is under enormous pressure.,We are under enormous pressure Simon.,character states
2、INT. NUMBER TEN CORRIDOR/MALCOLM'S OFFICE - MORNING,Why did the civil servant give Malcolm the CD?,For monitoring purposes.,Monitoring. All the usual.,causal/relational queries
5、INT. MALCOLM'S OFFICE. DAY.,"In [5、INT. MALCOLM'S OFFICE. DAY.], What behavior does Malcolm exhibit towards Simon?","Aggressive, threatening to pull his hair.","I'm going to have to go over to International Development, and pull Simon Foster's fucking hair.",character states
27、INT. CAR DRIVING THRU WESTMINSTER. DAY.,Why is Simon upset about not nailing the line?,Judy's warning failed to prevent Simon's mistake.,"JUDY I did try to warn you. SIMON You did try to warn me but you didn't actually stop me, did you?",causal/relational queries
28、INT. NUMBER 10. DAY.,Why does Malcolm demand Simon to come over?,To address issues discovered through news coverage.,"Simon. I don't like finding out about people I work with via the news, unless they've died. Get over here now so we can address at least one of those issues.",causal/relational queries
21、INT. FOREIGN OFFICE LOBBY - DAY,What action does Liza take when examining Karen's mouth?,She stares into Karen's mouth and points out a specific tooth.,"Liza stares into Karen's mouth. Well, I think that one, that one's always been there, right?",detailed description
54、INT. BLACK CAT INDIE CLUB - NIGHT,"In [54、INT. BLACK CAT INDIE CLUB - NIGHT], What is Toby's physical condition as described?",He is physically rejuvenated by alcohol and doesn't need sleep.,"TOBY: 'I no longer need sleep, but am physically rejuvenated by alcohol!'",character states
