id,scene,question,answer,evidence,qa_type
23,46、INT. MERTLE'S ACRES - DAY | 48、EXT. MERTLE'S ACRES - DAY,What does Mr. Mertle state about his relationship to The Beast when he emerges from the junkyard?,Mr. Mertle states that The Beast is his dog.,"Mr. Mertle emerged from the junkyard, walking slowly as The Beast followed behind him, tethered to a rusty tow chain.",character states
24,17、EXT. ENROUTE TO THE SANDLOT - DAY | 19、EXT. THE SANDLOT - DAY | 40、EXT. SANDLOT - DAY - MINUTES LATER,Why do the other boys react with alarm when Scotty tries to retrieve the ball?,The other boys react with alarm because they believe Scotty could have been seriously injured or killed by attempting to enter the area where the ball is.,"The gang erupts in alarm, shouting for him to stop. They rush over, grab him, and pull him back ten feet. Squints stares at him, wide-eyed, saying he could’ve been killed.",causal/relational queries
25,10、INT. SCOTTY'S ROOM - NIGHT | 11、INT. SCOTTY'S HOUSE - KITCHEN - NIGHT | 6、EXT. OLD REDWOOD FENCE - FOILAGE - DAY,When does Scotty agree to try making friends?,Scotty agrees to try making friends the next day.,"She holds out hope that he might make some friends the next day. Scotty agrees, 'Yeah, maybe tomorrow.'",temporal references
26,2、EXT. ELEMENTARY SCHOOL - PLAYGROUND - 1962 - DAY,What does a player on the opposing team state about Benny Rodriguez's ability in a rundown?,"A player states that Benny is the 'pickle king,' indicating his exceptional skill in escaping rundowns.","One opposing player shouts, 'Ya know he's the damn pickle king!' and another says, 'why'd ya get him in a pickle for?!' referring to Benny's expertise in evading tags during a rundown.",character states
27,8、EXT. THE BLOCK - DUSK | 33、EXT. REAR OF FIVE & DIME - DAY,What does Benny state about Scotty in relation to the group?,"Benny states that Scotty will play with them, making nine—enough for a team.","After the introductions, Scotty raised a hand and said, 'Hi.' The others remained silent, watching him. Benny turned to the group and said Scotty would play with them, making nine—enough for a team.",character states
28,30、EXT. SCOTTY'S HOUSE - DAY | 34、EXT. SANDLOT - DAY,What does Benny do after hitting the fly ball during warm-ups?,"Benny hits a fly ball toward right field, which arcs high into the air and comes down near Scotty.","During warm-ups, the team takes their positions on the field. DeNunez pitches, and Benny hits a fly ball toward right field. The ball arcs high into the air and comes down near Scotty.",character states
29,10、INT. SCOTTY'S ROOM - NIGHT | 30、EXT. SCOTTY'S HOUSE - DAY | 34、EXT. SANDLOT - DAY,What does Scotty's mother state about his father's ability to play baseball?,Scotty's mother states that his father was good at baseball in high school.,"She says he would love to teach Scotty to play catch, remembering how good he was at baseball in high school.",character states
30,50、EXT. MR. MERTLE'S BACKYARD - DAY,Describe in detail how The Beast was secured and provided shelter in the backyard.,"The Beast was secured by fastening a heavy chain to an I-Beam girder that had been driven into the ground and cemented in place. The chain was attached to a collar around The Beast's neck, anchoring it to the girder. For shelter, Mr. Mertle built a large lean-to using old bullet-holed tin advertising signs, which The Beast then moved under and rested beneath, causing dust to rise from the ground due to its weight.","Construction workers drove an I-Beam girder into the ground... filled the surrounding chasm with wet cement... A welder later attached a heavy chain to the girder... Mr. Mertle takes the other end of the chain and fits it around The Beast's neck like a collar... Mr. Mertle assembled a large lean-to in the backyard using old bullet-holed tin advertising signs... The Beast moved beneath the shelter and lay down, the force of its body hitting the ground sending a burst of dust flying from underneath the structure.",detailed description
31,47、INT. MERTLE'S ACRES - NIGHT | 48、EXT. MERTLE'S ACRES - DAY,Why did the police officers draw their guns when Mr. Mertle emerged from the junkyard?,"The police officers drew their guns because Mr. Mertle was accompanied by a massive dog that appeared threatening, following behind him on a rusty tow chain.","Police officers, already on scene, ducked behind their cars and raised their guns, aiming at Mr. Mertle and the animal now standing beside him.",causal/relational queries
32,25、EXT. SCOTTY'S HOUSE - BACKYARD - DAY | 19、EXT. THE SANDLOT - DAY,How does Scotty react after throwing the ball back to the gang?,"Scotty turns and walks away in tears, with his shoulders slumped and his breath coming in short, uneven gasps, as the gang's laughter fades behind him.","Scotty turns and walks away from the sandlot, his eyes filled with tears. His shoulders slump with each step, and his breath comes in short, uneven gasps. The laughter of the gang fades behind him as he moves along the perimeter.",character states
33,50、EXT. MR. MERTLE'S BACKYARD - DAY,How was The Beast secured and provided shelter in the backyard?,"The Beast was secured by a heavy chain that was fastened to an I-beam driven deep into the ground and cemented in place, with the other end attached to a collar around his neck. For shelter, Mr. Mertle built a lean-to using old, bullet-riddled tin signs, under which The Beast retreated and lay down, causing dust to puff up from the ground.","Construction workers drive an I-beam deep into the ground, securing it with cement. A welder fastens a heavy chain to the I-beam, and Mr. Mertle attaches the other end to a collar around The Beast’s neck. Mr. Mertle builds a lean-to shelter from old, bullet-riddled tin signs. The Beast retreats under the lean-to, dust puffing up as he lies down.",detailed description
34,34、EXT. SANDLOT - DAY,What does Benny state about Scotty's position on the field?,Benny states that Scotty should play in right field.,Benny tells Scotty to take right field.,character states
35,30、EXT. SCOTTY'S HOUSE - DAY | 34、EXT. SANDLOT - DAY | 40、EXT. SANDLOT - DAY - MINUTES LATER,What does Benny state when he approaches Scotty on the porch?,Benny invites Scotty to play baseball.,He stood on the sidewalk and invited Scotty to play baseball.,character states
36,33、EXT. REAR OF FIVE & DIME - DAY,What does Ham say to describe himself while imitating Babe Ruth?,Ham says he is the Great Bambino.,"Ham chews on a candy cigar and strikes a pose, imitating Babe Ruth. 'Hey! Check me out! I'm the Great Bambino!' he announces.",character states
37,30、EXT. SCOTTY'S HOUSE - DAY | 34、EXT. SANDLOT - DAY,What does Scotty state about his plans after receiving the glove?,Scotty states that he is going to play ball.,Scotty calls out to his mother that he’s going to play ball.,character states
