id,scene,question,answer,evidence,qa_type
16,39、EXT. PRAGUE NIGHTCLUB - NIGHT,What does Torvalds say about Gabriel's true nature?,"A driven, unflinching, calculating machine","Beneath it all he is a driven, unflinching, calculating machine",dialogue/beliefs
17,46、INT. INTERROGATION ROOM - SAME TIME,How does Torvalds appear as he looks into the glass?,He looks smugly.,Torvalds looks smugly into the glass.,detailed description
18,9、EXT. BANK - SHARPSHOOTERS,What is the effect of the red laser aiming dots on Gabriel?,He is unaware of their presence.,"Unbeknownst to him, red laser aiming dots appear on Gab's merc's chest.",causal/relational queries
19,12、INT. BANK - DAY,"In [12、INT. BANK - DAY], What is Gabriel's emotional state?",Gabriel is shocked.,he gets the shit shocked out of him,character states
20,19、EXT. BANK - DAY,"In [19、EXT. BANK - DAY], What action does the hostage take when the SWAT guy tries to rescue her?",She fights him,He reaches for her but she fights him,character states
21,1、INT. STARBUCKS COFFEE SHOP - MORNING,What is the difference in the suits worn by Stanley and Agent Roberts?,Stanley's is expensive and well-cut; Roberts' is polyester.,"Both wear suits, the younger's is fairly expensive and well cut, the other's is polyester, enough said.",detailed description
22,35、INT. VIEWING ROOM - NIGHT,What does 'BAD AGENTS #1 & 2' refer to?,FBI agents watching the interrogation,Two FBI agents (BAD AGENTS #1 & 2) watch the interrogation through a two-way mirror.,terminology/abbreviation/concept
23,34、INT. FBI INTERROGATION ROOM - NIGHT | 43、INT. FBI INTERROGATION ROOM - NIGHT | 34、INT. FBI INTERROGATION ROOM - NIGHT,Why does Roberts offer Torvalds a deal in exchange for information?,"Roberts offers Torvalds a deal because he wants the information Torvalds possesses and believes he can obtain it by offering him a first-class flight to Finland, leveraging Torvalds' desire to escape to a place where he has allies.","Roberts offers a deal: information for a first-class flight home, courtesy of the U.S. government. He tells Torvalds he once led the largest cyber-crime task force in the world but now doesn’t care about rules, implying he is willing to use unconventional methods to get information.",causal/relational queries
24,6、INT. STARBUCKS COFFEE SHOP - DAY | 13、INT. STARBUCKS - DAY | 44、INT. HALLWAY - NIGHT,What does Roberts say when Torvalds' attorney begins to speak in the hallway?,Roberts tells the attorney to shut up.,"The attorney begins to speak, saying, 'You will be hearing from my gover --' but Roberts cuts him off, saying, 'Shut up.'",character states
25,34、INT. FBI INTERROGATION ROOM - NIGHT | 35、INT. VIEWING ROOM - NIGHT,What does Bad Agent #1 state about the need to speak with Agent Roberts?,Bad Agent #1 states that it is important to speak with Agent Roberts as soon as possible.,"Bad Agent #1 dials his cell phone and requests Assistant Director Joy to find Agent Roberts, saying, 'It's important that I speak with him as soon as possible.'",character states
26,23、INT. CUSTOMS (LAX) - CLOSEUP ON AXL TORVALDS - DAY | 24、INT. MEZZANINE LEVEL,What time was it when the customs agents were still comparing Axl Torvalds' passports?,It was 1:50 PM when the customs agents were still comparing Axl Torvalds' passports.,"By 1:50 PM, they are still comparing the documents when Torvalds notices a customs employee pushing a cart of confiscated items out of a nearby service elevator.",temporal references
27,34、INT. FBI INTERROGATION ROOM - NIGHT | 43、INT. FBI INTERROGATION ROOM - NIGHT | 34、INT. FBI INTERROGATION ROOM - NIGHT | 35、INT. VIEWING ROOM - NIGHT,Why did Bad Agent #1 contact Assistant Director Joy during the interrogation?,Bad Agent #1 contacted Assistant Director Joy because he noticed the other FBI agent resembled a mercenary involved in a prior violent incident and wanted to locate Agent Roberts immediately.,"Bad Agent #1 studies his partner closely, noting a striking resemblance to a mercenary seen carrying a young blonde girl before a shooting outside a bank. Without a word, Bad Agent #1 pulls out a cell phone and dials. He speaks into the phone, asking for Assistant Director Joy and requesting that Agent Roberts be found immediately.",causal/relational queries
28,34、INT. FBI INTERROGATION ROOM - NIGHT | 43、INT. FBI INTERROGATION ROOM - NIGHT,What does Torvalds state about the people pursuing him?,"Torvalds states that the people after him can do worse to him than whatever Roberts could do, and that he is already a dead man.","Torvalds, breathing heavily, says that whatever Roberts can do to him, the people after him can do worse. He’s already a dead man—his only chance is in Finland, where he has allies.",character states
29,32、INT. STANLEY'S TRAILER - ANGLE - STANLEY,What does Melissa state about Stanley's ability to challenge Larry in court?,Melissa states that Stanley has no money and no legal standing to fight Larry in court.,"Melissa interrupts him sharply, stating that he has no money and no legal standing to fight Larry in court.",character states
30,28、INT. KITCHEN | 27、EXT. TRAILER - ROOF - DAY | 29、INT. LIVING ROOM - DAY | 30、EXT. STANLEY'S TRAILER - DAY,What does Ginger state about Stan's living place?,Ginger states that Stan's place is not nice and that she feels sorry for herself after being there only a few minutes.,"She says, 'This is not a nice place you have here, Stanley,' and 'I've only been here a few minutes and I'm already starting to feel sorry for myself.'",character states
31,"25、INT. BOARDROOM (WASHINGTON, D.C.) - DAY | 35、INT. VIEWING ROOM - NIGHT",What does Bad Agent #1 state about Agent Roberts during the phone call?,Bad Agent #1 states that it is important that he speaks with Agent Roberts as soon as possible.,"Bad Agent #1 dials his cell phone and speaks into the receiver, asking for Assistant Director Joy and requesting that Agent Roberts be found immediately because it is important that he speaks with him as soon as possible.",character states
32,"23、INT. CUSTOMS (LAX) - CLOSEUP ON AXL TORVALDS - DAY | 25、INT. BOARDROOM (WASHINGTON, D.C.) - DAY | 35、INT. VIEWING ROOM - NIGHT",What time did the agents still be examining the passports when Torvalds noticed the cart of confiscated items?,The agents were still examining the passports at 1:50 PM.,"By 1:50 PM, they are still comparing the documents when Torvalds notices a customs employee pushing a cart of confiscated items out of a nearby service elevator.",temporal references
33,27、EXT. TRAILER - ROOF - DAY | 33、EXT. STANLEY'S TRAILER - DAY,What does Ginger state about Stanley's potential meeting with the lawyer?,"Ginger states that Stanley has nothing to lose by meeting the lawyer one time and can walk away if he doesn’t like what he sees, and he will keep the money either way.","Ginger tells Stanley he has nothing to lose by meeting the lawyer, just one time. She says he can walk away if he doesn’t like what he sees, and he gets to keep the money either way.",character states
34,34、INT. FBI INTERROGATION ROOM - NIGHT | 35、INT. VIEWING ROOM - NIGHT,What does Torvalds state about his condition and chances of survival during the interrogation?,"Torvalds states that he is already dead and that his only chance of survival is returning to Finland, where he has friends.","Torvalds replied that whatever Roberts could do to him, someone else could do worse, and that he was already dead—his only chance of survival was returning to Finland, where he had friends.",character states
35,13、INT. STARBUCKS - DAY | 44、INT. HALLWAY - NIGHT,What does Roberts state when confronted by Torvalds' attorney in the hallway?,Roberts states that the attorney should shut up.,"Roberts cuts off the attorney, who begins to speak, by saying, 'Shut up.'",character states
36,2、EXT. STARBUCKS COFFEE SHOP - DAY,What does Gabriel do after walking past the armored bus?,Gabriel walks beneath the 'WORLD BANC' sign and moves through the glass front door of the building.,"Gabriel steps past the armored bus, walks beneath the large 'WORLD BANC' sign, and moves through the glass front door of the building.",character states
37,33、EXT. STANLEY'S TRAILER - DAY | 32、INT. STANLEY'S TRAILER - ANGLE - STANLEY,What does Melissa state about Larry's role in Holly's life?,Melissa states that Larry is Holly’s father now and that Stanley has no place in their lives.,"She said Larry was Holly’s father now—fully and finally. She spoke as if it were a fact long settled, not something contested, and made it clear Stanley had no place in that truth.",character states
