doc_title,chunk_id,text,scene_context
107.马冬梅家里|内|日-黄昏,doc_106_chunk_3,一到冬天我就犯胃病，你就把手搓热了给我暖胃，有一次我掉井盖里把门牙磕掉了，你就守在旁边陪我，一边陪我一边嗑瓜子，给我烦的啊！哪知道你磕完的瓜子仁都是给 我吃的。为了让我戒烟，你把家里所有的打火机都藏在暖气 片后面，后来打火机被烤炸了，暖气水崩的到处都是，你吓得躲在我怀里哭，那天晚上，我俩像落汤鸡一样收拾了一整 夜。冬梅，你第一次为我做饭做的就是茴香打卤面，你说茴香的味道能让我在将来厌倦你的时候多去回想你的好。,在小屋里，与马冬梅回忆过去经历
130.特护病房|内|日,doc_129_chunk_5,你们都出去~~出去！！！滚！滚！,病房：夏洛要求夏洛妈和张扬离开。
130.特护病房|内|日,doc_129_chunk_5,不许碰我妈！！,病房：夏洛禁止张扬碰夏洛妈。
107.马冬梅家里|内|日-黄昏,doc_106_chunk_0,冬梅，好久不见。,客厅：夏洛与马冬梅讨论过去经历。
107.马冬梅家里|内|日-黄昏,doc_106_chunk_0,这个是？,客厅：夏洛与马冬梅讨论过去经历。
107.马冬梅家里|内|日-黄昏,doc_106_chunk_0,现在不练标枪了吗？,客厅：夏洛与马冬梅讨论过去经历。
107.马冬梅家里|内|日-黄昏,doc_106_chunk_0,不练了好，要不胳膊都练粗了。,客厅：夏洛与马冬梅讨论过去经历。
107.马冬梅家里|内|日-黄昏,doc_106_chunk_0,还是没离开罐子。,客厅：夏洛与马冬梅讨论过去经历。
130.特护病房|内|日,doc_129_chunk_2,邱雅，你有什么事直奔主题吧。,医院探视区，邱雅误以为夏洛已故，夏洛要求直奔主题。
130.特护病房|内|日,doc_129_chunk_2,你真的这么想吗？,医院探视区，邱雅提出结婚遗憾，夏洛质疑。
125.马冬梅家楼下|外|黄昏,doc_124_chunk_0,粉丝送的，小车开腻了，换大车开开。,在马冬梅家附近，夏洛与大春对话
125.马冬梅家楼下|外|黄昏,doc_124_chunk_0,走，陪我玩会去！你选地儿，我消费！,在马冬梅家附近，夏洛与大春对话
125.马冬梅家楼下|外|黄昏,doc_124_chunk_0,会开车吗？,在马冬梅家附近，夏洛与大春对话
16.豪华酒店|内|日,doc_15_chunk_1,老师。。,班级聚会，王老师提及夏洛往事。
18.豪华酒店|内|日,doc_17_chunk_3,没喝完酒呢，你先回去吧！,扫墓途中，与冬梅对话，主题为喝酒
18.豪华酒店|内|日,doc_17_chunk_3,我不想喝皇家礼炮！,扫墓途中，与冬梅对话，主题为喝酒
130.特护病房|内|日,doc_129_chunk_4,妈我对不起你。,病房：夏洛妈在旁，夏洛道歉
130.特护病房|内|日,doc_129_chunk_4,我不见她！无论如何我不想让她看见我现在这样子。,病房：夏洛妈提及冬梅，夏洛拒绝见面
130.特护病房|内|日,doc_129_chunk_4,张扬，谢谢你，说实话，我一直以为你是个唯利是图的人。没想到…,病房：张扬返回后，夏洛感谢张扬
130.特护病房|内|日,doc_129_chunk_4,妈，孩儿不孝，没办法给你养老送终了。,病房：夏洛妈喂汤后，夏洛表达不孝
130.特护病房|内|日,doc_129_chunk_4,趁年轻，妈你再找一个吧。,病房：夏洛建议母亲再找人
16.豪华酒店|内|日,doc_15_chunk_2,老师，您记错了。,课堂，夏洛打断王老师讨论情书收件人。
16.豪华酒店|内|日,doc_15_chunk_2,老师，这杯酒我敬你，以前不懂事让您费心了。,酒桌聚会，夏洛向王老师敬酒致歉。
18.豪华酒店|内|日,doc_17_chunk_0,邱雅，恭喜。你没让我失望，毫不夸张的说，你穿婚纱的样子就像西游记里的观音菩萨一样美，但我万万没想到你最后会嫁给天蓬元帅。,婚礼敬酒环节，夏洛对邱雅说祝贺话。
18.豪华酒店|内|日,doc_17_chunk_5,我自己挣钱买的我愿意穿啥穿啥。,婚礼现场，与冬梅对话，主题：衣服购买权。
14.婚礼现场|内|日,doc_13_chunk_0,都是过去的事了！我先干为敬！,在酒宴上，同学们大笑后，夏洛回应过去的事。
14.婚礼现场|内|日,doc_13_chunk_0,没事。,在酒宴上，袁华道歉后，夏洛回应。
14.婚礼现场|内|日,doc_13_chunk_0,哦，冬梅跟她姐妹们去瑞士自驾游了。,在酒宴上，孟特询问后，夏洛回答妻子去向。
18.豪华酒店|内|日,doc_17_chunk_6,老娘们儿欠揍！,婚礼现场：冬梅转身走开后，夏洛指责冬梅
2.豪车|内|日,doc_1_chunk_0,快了，慢点开，再绕两圈。,车内，夏洛与小舅子对话，主题：开车绕圈
2.豪车|内|日,doc_1_chunk_0,停停停车！,车内，夏洛看到老同学们在酒店门口抽烟后要求停车
3.酒店大门|外|日,doc_2_chunk_0,刚才我睡着了，司机没忍心叫我。,酒店附近，夏洛与老同学们寒暄，讨论车在酒店转圈及他睡着。
18.豪华酒店|内|日,doc_17_chunk_1,我上学那会儿为你写了首歌，一直没机会唱给你听，我现在虽然小有成就，在国外创作了很多脍炙人口的作品，但对我来说最珍贵的就是这首歌。,婚礼现场，夏洛对邱雅表达为她写的歌。
18.豪华酒店|内|日,doc_17_chunk_1,（唱）我会在你身边你左右，永远不放手，你的一举一动像心跳牵动我所有……,婚礼现场，夏洛在舞台上深情演唱歌曲。
35.夏洛房间|内|日,doc_34_chunk_0,这帮人都火了多少年了。,房间内，夏洛自言自语关于卡带明星的流行。
21.高中教室|内|日,doc_20_chunk_3,在我梦里我还能让你欺负我？（继续打）,教室，夏洛与王老师冲突，主题：学生反抗老师侮辱
21.高中教室|内|日,doc_20_chunk_3,你天天侮辱我们管我们叫弱智傻子我们就有前途了吗？我们将来成为废物全他妈是被你逼的！,教室，夏洛与王老师冲突，主题：学生反抗老师侮辱
21.高中教室|内|日,doc_20_chunk_0,我操……,教室，夏洛刚进门被王老师质问时
21.高中教室|内|日,doc_20_chunk_0,这到底是怎么回事？！怎么回事啊？,教室，夏洛发现走廊变化后
21.高中教室|内|日,doc_20_chunk_0,是梦，又做这个梦了。我什么时候睡着的？,教室，夏洛环顾四周确认是梦
18.豪华酒店|内|日,doc_17_chunk_4,谁敢笑话我？谁他妈敢笑话我夏洛！,婚礼现场，与冬梅对话，主题：被笑话
18.豪华酒店|内|日,doc_17_chunk_4,我他妈就不爱听你说话！你别以为我不知道！邱雅的初吻就是被你夺走的！,婚礼现场，与袁华对话，主题：不听袁华说话
18.豪华酒店|内|日,doc_17_chunk_4,你给我滚！,婚礼现场，与冬梅对话，主题：驱赶冬梅
49.学校自行车棚|外|日,doc_48_chunk_0,别烦我，一会儿教你。离我远点。,自行车棚：大春请求夏洛教《双节棍》歌，夏洛拒绝。
21.高中教室|内|日,doc_20_chunk_1,好逼真啊！,教室：夏洛走向座位，看着同学。
21.高中教室|内|日,doc_20_chunk_1,谁参加婚礼穿校服啊？,教室：王老师质问夏洛校服问题。
21.高中教室|内|日,doc_20_chunk_1,怎么还感觉到疼呢？,教室：王老师掐夏洛时，夏洛回应疼。
48.学校礼堂|内|日,doc_47_chunk_0,东亚病夫的招牌已被我一脚踢开,中小学生歌手大赛：演唱《双节棍》高潮部分
21.高中教室|内|日,doc_20_chunk_5,这个梦做的爽！,教室中，夏洛说'这个梦做的爽！'后走向邱雅。
45.天台|外|日,doc_44_chunk_0,噗噗~邱雅在吗？邱雅在吗？同学们好，我是三年二班的夏洛。利用午休的时间呢，我给大家唱一首我自己写的原创歌曲，歌的名字叫《星晴》。我要把这首歌献给邱雅。,校园广播中，夏洛在午休时间演唱《星晴》献给邱雅。
34.夏洛家客厅|内|日,doc_33_chunk_0,妈我回来了！,夏洛家门厅，夏洛对母亲说回家了。
34.夏洛家客厅|内|日,doc_33_chunk_0,哎呀王姨！多少年没见了！原来你年轻的时候这么漂亮，你要一直这么漂亮你家我叔也不可能跟你离婚。,夏洛家门厅，夏洛对王姨打招呼并评论其年轻时的美貌。
34.夏洛家客厅|内|日,doc_33_chunk_0,妈！我不让你把烟戒了吗？你将来咋死的你不知道吗？ 不许再抽了！,夏洛家门厅，夏洛责备母亲吸烟。
31.教室|日|内,doc_30_chunk_1,（突然举手）老师！,教室：夏洛与王老师讨论换座位
31.教室|日|内,doc_30_chunk_1,王老师我要换座！,教室：夏洛与王老师讨论换座位
31.教室|日|内,doc_30_chunk_1,马冬梅上课总找我说话，影响我学习。,教室：夏洛与王老师讨论换座位
31.教室|日|内,doc_30_chunk_1,王老师，我也想好好学习，谁也不想总拖班级后腿啊！,教室：夏洛与王老师讨论换座位
31.教室|日|内,doc_30_chunk_1,我想跟邱雅一桌。,教室：夏洛与王老师讨论换座位
31.教室|日|内,doc_30_chunk_1,那袁华为什么能跟邱雅一桌？,教室：夏洛与王老师讨论换座位
46.校园的各个角落|日,doc_45_chunk_0,冬梅，别闹！你干什么？别别，你把凳子放下！哎呀！,场景46g：学校全景，夏洛在广播中回应马冬梅的抱怨。
30.操场领操台|外|日,doc_29_chunk_0,一直以来，我都在虚度光阴，但是没想到上天又给了我一次重生的机会，所以我要感谢天，感谢地……,全校集会：夏洛在检讨中感谢天感谢地。
30.操场领操台|外|日,doc_29_chunk_0,我要和大家说声对不起，王老师，从现在起，我俩的恩怨一笔勾销。,全校集会：夏洛向王老师道歉，表示恩怨一笔勾销。
30.操场领操台|外|日,doc_29_chunk_0,我一定会赔偿到你满意为止！,全校集会：夏洛承诺赔偿王老师。
30.操场领操台|外|日,doc_29_chunk_0,最后还要向邱雅同学说声对不起，不但给你写了情书 还……我真的以为那是一场梦。我会对你负责任的！,全校集会：夏洛向邱雅道歉，提到情书和负责任。
120.夏洛工作室|内|日,doc_119_chunk_2,听听这个吧，我的心血之作。,新歌发布会准备会议，夏洛向邱雅和与会者展示新歌。
120.夏洛工作室|内|日,doc_119_chunk_2,我会在你身边 你左右，绝不会回首，你的一举一动像心跳牵动我所有……,新歌发布会准备会议，夏洛深情演唱新歌。
120.夏洛工作室|内|日,doc_119_chunk_2,不好听吗？,新歌被邱雅批评后，夏洛回应。
120.夏洛工作室|内|日,doc_119_chunk_2,我觉得很好。,夏洛坚持新歌质量。
65.KTV包房|内|日,doc_63_chunk_0,那姐！,包房内，夏洛与那英对话。
101.海边别墅客厅|内|日,doc_100_chunk_0,邱雅，这件事你是不是知道？,酒局中，夏洛询问邱雅关于陈凯家事件。
101.海边别墅客厅|内|日,doc_100_chunk_0,张扬，这件事你是不是也知道？,酒局中，夏洛询问张扬关于陈凯家事件。
101.海边别墅客厅|内|日,doc_100_chunk_0,都是过去的事了，过去了过去了。,酒局中，气氛凝固时，夏洛试图平息讨论。
101.海边别墅客厅|内|日,doc_100_chunk_0,还他妈喝个屁啊！,酒局中，夏洛情绪爆发时说。
【大春闪回】 60a.游戏厅|内|日,doc_58_chunk_0,记住！冬梅最喜欢的花是向日葵，他的偶像是张国荣，而且他不喜欢邋遢的男人，一定不要把衬衣掖在秋裤里,闪回：夏洛对大春的指示，主题为马冬梅的喜好
126.大型游戏厅|内|接上,doc_125_chunk_0,大春我让你挑地儿，你就这么点儿追求吗？,游戏机前，与大春讨论游戏选择
126.大型游戏厅|内|接上,doc_125_chunk_0,大春，我真嫉妒你，能像傻逼一样的活着。,游戏机前，与大春讨论生活态度
126.大型游戏厅|内|接上,doc_125_chunk_0,可我最爱的女人被别人抢走了。,游戏机前，与大春谈论感情问题
126.大型游戏厅|内|接上,doc_125_chunk_0,这个人是我的好朋友。,游戏机前，与大春解释女人被抢的细节
126.大型游戏厅|内|接上,doc_125_chunk_0,（对着手机）大春，我可以给你一切，只要你把冬梅还给我。,游戏机前，夏洛打电话请求归还冬梅
59.领操台|外|日,doc_56_chunk_0,夜太漫长~~凝结成了霜~~菊花残~满地伤~~~ 你的笑容已泛黄！,领操台：夏洛弹唱
50.游戏厅|内|日,doc_49_chunk_0,大春，我们国家的男女比例已经严重失调了，将来中国会有几千万男人打光棍，你觉得会不会包括你？,在苹果机前，夏洛与大春讨论男女比例失调。
50.游戏厅|内|日,doc_49_chunk_0,去追马冬梅！按我之前教你的方法。死缠烂打别犹豫，在学校不抓住机会到社会上你就更没希望了。,在苹果机前，夏洛建议大春追马冬梅。
50.游戏厅|内|日,doc_49_chunk_0,你考虑的太多了，大春你记住，你和别人不一样，千万不要把时间浪费在学习上，更不要考大学，让你妈把供你上大学的钱都拿出来买房子，二环内的！你妈那么惯着你，你说话她肯定听。,在苹果机前，夏洛劝大春不要学习考大学。
74.九八年春节联欢晚会《相约98》现场|内|夜,doc_72_chunk_0,融融的暖意带着深情的问候~~~~~,舞台：夏洛模仿王菲造型登场并演唱
51.游戏厅外|外|黄昏,doc_50_chunk_2,你怎么跟我大哥说话呢？你给我走！不走我抽你！,小弟说'小丫头片子'后，夏洛在冲突中警告小弟离开。
51.游戏厅外|外|黄昏,doc_50_chunk_0,我告诉你们啊，别欺负我，我跳过楼我脑袋不好使。,游戏厅：陈凯一伙压迫夏洛，夏洛求饶。
51.游戏厅外|外|黄昏,doc_50_chunk_0,陈凯哥。,游戏厅：夏洛回应陈凯的威胁。
51.游戏厅外|外|黄昏,doc_50_chunk_0,哥，以后你弟弟这个称号我买断了。,游戏厅：夏洛贿赂陈凯以避免冲突。
88.出租车|内|夜,doc_85_chunk_0,用最快的速度去火车站！,在车上，夏洛对司机要求去火车站。
90.火车站内|内|夜,doc_87_chunk_0,麻烦问一下。,在进站口，夏洛向路人问询。
63.街道红墙外|外|日,doc_61_chunk_0,不会好好说话吗？动什么手啊！！,走路途中，夏洛抱怨动手
63.街道红墙外|外|日,doc_61_chunk_0,你们谁啊？,路边，夏洛询问墨镜男和刀疤男身份
95.豪华汽车|内|日,doc_94_chunk_0,我想给自己放几天假，走！陪我喝酒去。,路边树下，张扬询问不接电话，夏洛提议放假喝酒。
93a.好声音现场|内|日,doc_91_chunk_0,你随便篡改我的歌词是画蛇添足！什么手牵手一步两步三步四步望着天？你走路不看路那不等着摔跟头呢吗？还看星星一颗两颗三颗四颗连成线，你以为你是贪食蛇吗？ 我一看见你就来气！！,选秀现场：夏洛向周杰伦（选手）批评歌词篡改。
99.海边别墅客厅|内|日,doc_98_chunk_0,袁华啊~你这大才子在海上碰瓷太屈才了，都是同学，你要是有什么困难就说一声。,海滩：夏洛与袁华、张扬在红酒海鲜旁交谈
99.海边别墅客厅|内|日,doc_98_chunk_0,袁华，其实我非常欣赏你，上学那会儿你就才气侧漏……,海滩：夏洛与袁华、张扬在红酒海鲜旁交谈
99.海边别墅客厅|内|日,doc_98_chunk_1,你能不能就着我这身行头，即兴赋诗一首！,与袁华讨论鸡毛装
99.海边别墅客厅|内|日,doc_98_chunk_1,好！有文采！我想好了，我出资给你办个文学杂志，名字我都想好了，就叫《男人得装》。你来当主编。,与袁华讨论创办《男人得装》杂志
99.海边别墅客厅|内|日,doc_98_chunk_1,嗨~不打不相识，咱俩也算是惺惺相惜。,与袁华回顾过去矛盾
98.豪华游艇甲板上|日|外,doc_97_chunk_0,邱雅，对不起。,邱雅训话后，夏洛道歉
98.豪华游艇甲板上|日|外,doc_97_chunk_0,喂？华哥！你要的歌我写完了，第一个帮你写的。你听听啊！（唱）冷冷的冰雨在脸上胡乱的拍~~~什么？你唱过了！哈！我跟你开玩笑呢！你再听听这首。,夏洛接助理递来的电话，与华哥讨论歌曲
96.海鲜烧烤大排档|外|夜,doc_95_chunk_0,不瞒你说，当年我就在这卖唱，他们几个总合伙挤兑我。坑的我一天都不如那个卖花丫头赚的多。但是他们都怕冬梅。那时候冬梅一下班就过来陪我唱歌。,大排档：夏洛与张扬对话，谈论过去卖唱经历。
96.海鲜烧烤大排档|外|夜,doc_95_chunk_0,嘘！（打断）我当年特别怯场，不敢当众唱歌，但是 也怪，我就能当着冬梅面唱出来。后来冬梅天天来给我打气，慢慢地我就敢唱了。,大排档：夏洛与张扬对话，回忆怯场和冬梅支持。
96.海鲜烧烤大排档|外|夜,doc_95_chunk_0,废话！他毕竟是我媳妇。,大排档：夏洛与张扬对话，确认冬梅是媳妇。
96.海鲜烧烤大排档|外|夜,doc_95_chunk_0,来！你们给我合奏一首夏洛的《SuperStar》！,大排档：夏洛让卖唱歌手合奏《SuperStar》。
99.海边别墅客厅|内|日,doc_98_chunk_2,等会儿，你刚才说冬梅怎么了？,在聚会中，邱雅打岔后，夏洛询问冬梅相关话题。
99.海边别墅客厅|内|日,doc_98_chunk_2,你们俩使什么眼神？袁华没事，你继续往下说，我就是想了解一下。,在聚会中，夏洛要求袁华继续讲述冬梅的故事。
49.学校自行车棚|外|日,doc_48_chunk_1,你竟然认为是我？我上课的时候看见你一直在咽口水，我猜你是渴了，没放学我就跑到小卖店给你买汽水，可挑来挑去都是冰镇的，我知道你这两天不能喝冰的，我就把汽水放在胸前捂着，现在汽水不冰了，我的心却是冰冰的。,车旁，与邱雅对话
49.学校自行车棚|外|日,doc_48_chunk_1,嗨~习惯了！谁让我以前没给你留下好印象呢。,车旁，与邱雅对话
49.学校自行车棚|外|日,doc_48_chunk_1,嗯？,车旁，与邱雅对话
22.医院|内|日,doc_21_chunk_0,媳妇儿，我梦见我妈了。,医院：与夏洛妈对话，主题梦见妈妈
22.医院|内|日,doc_21_chunk_0,妈？！,医院：与夏洛妈对话，主题惊讶回应
22.医院|内|日,doc_21_chunk_0,我是不敢相信你还活着啊！,医院：与夏洛妈对话，主题还活着的惊讶
22.医院|内|日,doc_21_chunk_0,……现在是哪年？,医院：与医生对话，主题询问年份
22.医院|内|日,doc_21_chunk_0,啊？！现在国家主席是不是习大大？,医院：与医生对话，主题询问国家主席
22.医院|内|日,doc_21_chunk_0,啊~~~,医院：与夏洛妈对话，主题情绪表达
31.教室|日|内,doc_30_chunk_2,老师，他那是比作文吗？那是比爹呢！,教室中，与王老师讨论袁华的作文
31.教室|日|内,doc_30_chunk_2,老师那我想换个人睡。,教室中，与王老师讨论换座位
31.教室|日|内,doc_30_chunk_2,你，滚后面去！,教室第一排，与袁华对话，要求换座位
31.教室|日|内,doc_30_chunk_2,他要不同意我再打他一次。,教室第一排，与袁华对话，关于王老师同意
