id,scene,question,answer,evidence,qa_type
11,19、INT. 'LAS VEGAS' BOARDING HOUSE - ENTRANCE HALL - NIGHT,What causes Edna to ask about the husband's arrival?,Carter's claim about staying with a friend.,EDNA asks about the husband after CARTER states he's staying with a friend.,causal/relational queries
12,41、INT. HIRE CAR - AFTERNOON,"In [41、INT. HIRE CAR - AFTERNOON], What car does Carter follow?",The Cadillac with dark-tinted windows,a Cadillac with dark-tinted windows,objects/props
13,33、INT. CREMATORIUM COMMITTAL CHAMBER - DAY,"In [33、INT. CREMATORIUM COMMITTAL CHAMBER - DAY], What is slid inside the furnace?",Frank's coffin,Frank's coffin is slid inside the furnace.,objects/props
14,48、EXT. SCRAPYARD - DAY,What did Billy say caused the car to end up in the river?,He was drunk. Drunk as a lord.,"BILLY
He was drunk. Drunk as a lord.",dialogue/beliefs
15,46、INT. THE HEIGHTS - SITTING ROOM - LATE AFTERNOON,What does Kinnear say about the current situation?,"You see what it's like these days, Jack. You can't get the material.","KINNEAR
You see what it's like these days,
Jack. You can't get the material.",dialogue/beliefs
16,50、EXT. ALLEY IN TOWN CENTRE - NIGHT,What advice does Carter give Doreen?,Be good. And don't trust boys.,CARTER Be good. And don't trust boys.,dialogue/beliefs
17,33、INT. CREMATORIUM COMMITTAL CHAMBER - DAY,"In [33、INT. CREMATORIUM COMMITTAL CHAMBER - DAY], What closes after the flames start to lick the coffin?",The steel trap,Flames start to lick it as the steel trap closes.,objects/props
18,3、EXT. RAIL TRACK - DAY,What causes the blackness in the tunnel?,The express train plunging into the tunnel,Express train plunges into a tunnel Blackness.,causal/relational queries
19,1、EXT. PENTHOUSE APARTMENT - LONDON - NIGHT,"In [1、EXT. PENTHOUSE APARTMENT - LONDON - NIGHT], Where is Jack Carter located when he looks out at the night?",The room with the large picture window,Framed in the large picture window stands JACK CARTER,scene localization
20,32、EXT. CREMATORIUM - DAY,"In [32、EXT. CREMATORIUM - DAY], What is Margaret's emotional state when Carter confronts her about Frank's murder?",Nervous,MARGARET (nervously) Killed? I don't know anything about it.,character states
21,28、INT. LIMOUSINE - DAY | 34、INT. THE HALF MOON PUB - DAY | 49、INT. THE HALF MOON - NIGHT,What does Carter say about his brother's actions?,Carter says that his brother doing something like this is a bloody funny thing.,"Carter answers quietly, 'Yeah. A bloody funny thing,' in response to Eddie's comment about knowing a man for six years and thinking he's calm, then him doing something unexpected.",character states
22,1、EXT. PENTHOUSE APARTMENT - LONDON - NIGHT | 47、INT. THE HEIGHTS - HALLWAY - EVENING | 18、INT. FRANK CARTER'S HOUSE - LIVING ROOM - NIGHT | 34、INT. THE HALF MOON PUB - DAY,What does Carter state about Doreen when he stops Keith from following her?,Carter states that Doreen will be all right.,"Carter reached out and held him back, saying she would be all right.",character states
23,48、EXT. SCRAPYARD - DAY,Why did Carter's brother's car end up in the river?,Carter's brother drove the car into the river himself because he was very drunk.,"Billy tells Carter that the driver—Carter’s brother—was drunk, very drunk, and that he drove the car into the river himself.",causal/relational queries
24,32、EXT. CREMATORIUM - DAY,When does Margaret agree to meet Carter?,Margaret agrees to meet Carter the next morning at twelve o'clock.,"After a pause, she agrees to meet him the next morning at twelve o’clock on the Iron Bridge, then walks away as Doreen watches from a distance.",temporal references
25,50、EXT. ALLEY IN TOWN CENTRE - NIGHT,What does Doreen do after Carter tells her to be good and not to trust boys?,"She blushes, turns away, and rushes back into the snack bar to show her friend the money.","She blushes, turns away, and rushes back inside to show her friend the money.",character states
26,16、INT. FRANK CARTER'S HOUSE - LANDING - NIGHT | 17、INT. FRANK CARTER'S HOUSE - BEDROOM - NIGHT | 44、EXT. THE HEIGHTS - LATE AFTERNOON | 45、INT. THE HEIGHTS - LATE AFTERNOON,What does Carter state about the condition of the building he walks through?,"Carter states that the building is deteriorating, with worn floorboards, peeling wallpaper, mildew stains on the walls, and a leaking roof.","Carter moves slowly through the building, his footsteps quiet on the worn floorboards. His eyes pass over the peeling wallpaper and the dark stains of mildew creeping up the walls. Above him, water drips steadily from a leak in the roof.",character states
27,32、EXT. CREMATORIUM - DAY,When does Margaret agree to meet Carter?,Margaret agrees to meet Carter the next morning at twelve o'clock.,"After a moment of hesitation, Margaret agrees to meet him the next morning at twelve o'clock on the Iron Bridge.",temporal references
28,39、EXT. TRACK SADDLING ENCLOSURE - DAY | 47、INT. THE HEIGHTS - HALLWAY - EVENING | 20、INT. BOARDING HOUSE - BEDROOM - NIGHT,Why does Carter insist on paying Edna for the room despite her initial refusal?,"Carter insists on paying Edna because he wants to secure the room for his stay, showing his determination to establish a temporary base despite her protest that it's unnecessary.","Edna tells him not to be bloody silly, saying he's the first since Monday, but Carter gives her the money anyway.",causal/relational queries
29,14、INT. THE LONG BAR - NIGHT | 32、EXT. CREMATORIUM - DAY,When does Margaret agree to meet Carter after their conversation in the cloisters?,Margaret agrees to meet Carter the next morning at twelve o’clock.,"After a pause, she agrees to meet him the next morning at twelve o’clock on the Iron Bridge, then walks away as Doreen watches from a distance.",temporal references
30,27、EXT. FRANK CARTER'S HOUSE - DAY | 30、INT. CREMATORIUM - DAY | 32、EXT. CREMATORIUM - DAY,When does Margaret agree to meet Carter?,Margaret agrees to meet Carter the next morning at twelve o’clock.,"After a pause, she agrees to meet him the next morning at twelve o’clock on the Iron Bridge, then walks away as Doreen watches from a distance.",temporal references
31,47、INT. THE HEIGHTS - HALLWAY - EVENING | 49、INT. THE HALF MOON - NIGHT,What does Carter state about Cyril's concern regarding his involvement?,Carter states that Cyril is right to be concerned about his involvement.,Carter steps outside and says Cyril is right to be concerned.,character states
32,39、EXT. TRACK SADDLING ENCLOSURE - DAY | 47、INT. THE HEIGHTS - HALLWAY - EVENING,When does Eric signal Ray to follow Carter?,Eric signals Ray to follow Carter after Carter opens the front door and leaves.,"After Carter opens the front door and leaves, Eric turns to Ray and signals him to follow.",temporal references
33,37、EXT. TRACK ENCLOSURE - DAY | 39、EXT. TRACK SADDLING ENCLOSURE - DAY | 42、INT. CADILLAC - LATE AFTERNOON,Why does Carter remove Eric's sunglasses during their conversation at the racetrack?,"Carter removes Eric's sunglasses to look into his eyes, suggesting a personal and possibly confrontational attempt to reconnect or assess him.",Carter reaches up and removes Eric's sunglasses. He looks into his eyes. 'I'd almost forgotten what your eyes looked like. They're still the same. Piss holes in the snow.',causal/relational queries
34,22、INT. FRANK CARTER'S HOUSE - LIVING ROOM - DAY | 24、INT. FRANK CARTER'S HOUSE - LIVING ROOM - DAY | 50、EXT. ALLEY IN TOWN CENTRE - NIGHT,What does Carter tell Doreen before he leaves?,Carter tells Doreen to be good and not to trust boys.,"He lifts her chin with his finger and looks at her, telling her to be good and not to trust boys.",character states
35,6、INT. TRAIN CORRIDOR - DAY | 13、EXT. NEWCASTLE STATION - NIGHT | 49、INT. THE HALF MOON - NIGHT | 34、INT. THE HALF MOON PUB - DAY,What does Carter state about his relationship with Albert Swift?,Carter states that he went to school with Albert Swift and that Albert was the leader of their gang.,"Carter takes out a small phial of pills and mentions he went to school with Albert, adding that Albert was the leader of their gang.",character states
