scene,question,answer,evidence,qa_type
41、EXT. BROADWAY (TIMES SQUARE) - NIGHT,Why does Merv reveal the revolver?,To compel Sheldon to get in the limo.,Merv pulls his jacket back to reveal a revolver after Sheldon refuses to enter.,causal/relational queries
59、INT. STOKES' OFFICE - DAY,What does Chick claim about their control over Takashi?,They own every hair on Takashi's head.,We own every hair on this bastard's head,dialogue/beliefs
42、INT. LIMOUSINE - CONTINUOUS ACTION,Why does Merv mention the Parade of Hope's sponsorship of ice shows?,To establish their long-term involvement and pressure Sheldon.,MERV: 'Parade of Hope has sponsored every Kidnet ice show since 1964.',causal/relational queries
24、INT. STAIRWELL - MOMENTS LATER,What happened to Randolph after the guards dragged him down the stairwell?,He was beaten and tossed through the exit door.,Three burly Kidnet security guards drag Randolph down the stairwell. They beat the shit out of him and toss him through the exit door.,causal/relational queries
41、EXT. BROADWAY (TIMES SQUARE) - NIGHT,What causes Merv to pull out the revolver?,Sheldon's refusal to enter the limo.,Merv reveals the revolver following Sheldon's statement he's going uptown.,causal/relational queries
37、INT. ANGELO'S APARTMENT - RANDOLPH,What caused Sheldon to look confused after Nora leaves?,The 'Around Town' column's headline about the event.,Sheldon's action of looking at the 'Around Town' column after Nora exits,causal/relational queries
40、INT. BACKSTAGE - AFTER SHOW,Why did Sheldon correct Nora's comment about Spinner?,"To clarify Spinner is an ex-boxer with a childlike mind, not a mental patient.",He is not a mental patient. He's an ex-boxer and nightclub owner who happens to have the sweet innocent brain of a five-year-old!,causal/relational queries
10、EXT. CONEY ISLAND - EARLY EVENING,"In [10、EXT. CONEY ISLAND - EARLY EVENING], What is Smoochy?",A rhinoceros-costumed character who sings to patients.,"Smoochy. Or to be more specific, SHELDON MOPES.",terminology/abbreviation/concept
29、INT. ANGELO'S APARTMENT - SHORT WHILE LATER,"In [29、INT. ANGELO'S APARTMENT - SHORT WHILE LATER], What is Randolph's physical condition when Angelo finds him?",Half-conscious and passed out.,Randolph (half-conscious). He passes out and falls off the chair.,character states
36、INT. SHELDON'S OFFICE - SHORT TIME LATER,Why did Sheldon refuse Ben's gift?,Because it was a bribe for the Smoochy contract,"BEN: 'FunZone Toys would very much like the Smoochy contract, Mr. Mopes.' SHELDON: 'Is this... a bribe?'",causal/relational queries
36、INT. SHELDON'S OFFICE - SHORT TIME LATER,What caused Sheldon to escort Ben out?,Ben's attempt to bribe him for the Smoochy contract,"SHELDON: 'Normally, sir, we take the trash out... I'll make an exception in your case.'",causal/relational queries
35、INT. SHELDON'S OFFICE - SHORT WHILE LATER,What causes Sonny Gordon to mention the need for a crew?,Sheldon's plan to bring in many animals requires a crew.,SONNY: If you're looking to bring in that many pieces I gotta put a crew together.,causal/relational queries
28、INT. ANGELO PIKE'S RUNDOWN APARTMENT,"In [28、INT. ANGELO PIKE'S RUNDOWN APARTMENT], What is Randolph's emotional state when he asks to stay?",Crying like a child and desperate,Randolph starts crying like a child and asks to stay.,character states
68、INT. SPINNER DUNN'S - NIGHT,What does Burke believe about cutting out vendors?,He thinks it's suicide and essential for the ice show.,BURKE: You can't do an ice show and cut out the vendors... It's suicide.,dialogue/beliefs
68、INT. SPINNER DUNN'S - NIGHT,What does Sheldon say about the methadone clinic?,He will build a methadone palace for luxury withdrawal.,SHELDON: I'm going to build a methadone palace. A place where men and women can withdraw in luxury.,dialogue/beliefs
64、EXT. POLICE PRECINCT - DAY,What does Randolph say about Ms. Bishop's accusation of an unhealthy obsession?,"He denies knowing her, calling her a wacko and opportunist, and claims to be the most accused since Jimmy Hoffa.","RANDOLPH: Listen, I barely know that broad. She's a wacko. An opportunist. I'm the most accused man since Jimmy Hoffa.",dialogue/beliefs
71、EXT. CENTRAL PARK - DAY,"In [71、EXT. CENTRAL PARK - DAY], Where are Stokes and Burke walking when they discuss the Takashi deal?",by the lake framed by the New York skyline,"It's a chilly, grey afternoon. Stokes and Burke walk along the lake framed by the New York skyline.",scene localization
2、INT. BACKSTAGE - MOMENTS LATER,What action occurs to the rhino after he lumbers down the hallway?,He is grabbed by two large men and dragged out through the exit,The rhino lumbers down the hallway toward wardrobe. He is suddenly grabbed by two large men and dragged out through the exit,detailed description
12、EXT. CONEY ISLAND BOARDWALK - NATHAN'S HOT DOGS - SHORT,"In [12、EXT. CONEY ISLAND BOARDWALK - NATHAN'S HOT DOGS - SHORT], What object does Sheldon pull from the shopping bag?","the stained, misshapen Smoochy head","He pulls the stained, misshapen Smoochy head from the shopping bag.",objects/props
49、EXT. WAREHOUSE - SHORT WHILE LATER,When does the squad car drive off?,After Sheldon is shoved into the back seat,"Sheldon is shoved into the back seat of a squad car. It drives off, SIRENS BLARING",temporal references
29、INT. ANGELO'S APARTMENT - SHORT WHILE LATER,"In [29、INT. ANGELO'S APARTMENT - SHORT WHILE LATER], What physical injuries does Randolph have?",A nasty bump near his eye and a missing tooth.,He points to a nasty bump near his eye. He yanks his lip back to reveal a missing tooth.,character states
5、INT. DIMLY-LIT BAR - NIGHT,What does Rainbow Randolph tell the couple not to do?,Tell him how to run his fucking business,RANDOLPH: Then don't tell me how to run my fucking business.,dialogue/beliefs
30、EXT. BROADWAY (TIMES SQUARE) - MORNING,"In [30、EXT. BROADWAY (TIMES SQUARE) - MORNING], What role is Sheldon transitioning into, as indicated by the Variety article?",Executive producer of a smoochy show.,MOPES TO EXECUTIVE PRODUCE SMOOCHY SHOW.,character states
18、INT. PATSY'S - SHORT WHILE LATER,"In [18、INT. PATSY'S - SHORT WHILE LATER], What action does Sheldon take when he insists on raising the rhino?",He pounds his fist on the table.,He pounds his fist on the table.,character states
43、INT. CORPORATE PENTHOUSE - NIGHT,Why does Burke advise Sheldon to consider the ice show?,To avoid trouble with the organization.,BURKE (V.O.) The real one. My advice? Consider the ice show and stay healthy.,causal/relational queries
13、EXT. DOCK BY RIVER - NIGHT (POURING RAIN),"In [13、EXT. DOCK BY RIVER - NIGHT (POURING RAIN)], What is Randolph's current physical condition?",Disheveled and homeless,A disheveled Randolph... I'm homeless!,character states
32、INT. NORA'S OFFICE - CONTINUOUS ACTION,Why does Sheldon try to build rapport with Nora?,To establish mutual respect and cooperation.,I want us to start off on the right foot... I consider you a partner.,causal/relational queries
11、INT. RECEPTION AREA - SHORT WHILE LATER,What does Sheldon carry over his shoulder?,Smoochy's body on a hanger,He carries Smoochy's body on a hanger over his shoulder,detailed description
60、INT. NORA'S LIVING ROOM - EVENING,What does Randolph say about Smoochy's actions?,Randolph downplays Smoochy's actions by comparing them to jerking off in the supermarket.,Compared to what Smoochy did that's like jerking off in the supermarket.,dialogue/beliefs
66、INT. STUDIO C - CONTINUOUS ACTION,What does Smoochy say about life in the jungle?,Sometimes life in the jungle can be unfair.,"You know, kids, sometimes life in the jungle can be unfair.",dialogue/beliefs
8、INT. NETWORK BOARDROOM - KIDNET - DAY,What metaphor does the CEO use to describe the network's situation?,Two monkeys fucking.,uglier than two monkeys fucking.,dialogue/beliefs
20、EXT. ALLEY - NIGHT,"In [20、EXT. ALLEY - NIGHT], What is Randolph's emotional state when examining the cookies?",Gleeful,gazes at it gleefully,character states
1、EXT. KIDNET STUDIO -C - EVENING,"In [1、EXT. KIDNET STUDIO -C - EVENING], What is the man's role in the scene?",He is a performer in a rhinoceros costume.,A man in a puffy foam-rubber rhinoceros costume dancing under the bright friendly lights of a television studio.,character states
59、INT. STOKES' OFFICE - DAY,What does Chick assert about their cultural values?,They are honorable and know how to play ball.,"You're dealing with an honorable culture, Frank. We know how to play ball.",dialogue/beliefs
