id,scene,question,answer,evidence,qa_type
17,28、INT. HONG KONG POLICE STATION - BULLPEN/LEE'S OFFICE - DAY,"In [28、INT. HONG KONG POLICE STATION - BULLPEN/LEE'S OFFICE - DAY], What action does Lee take despite the danger?",Pushes through the crowd of smoke and fire,Lee pushes through the crowd -- it's all smoke and fire,character states
18,39、INT. SHIP'S HALLWAY - NIGHT,What does Carter say about Detective Yu?,He denies knowing him.,CARTER: 'Detective Yu? Never met him.',dialogue/beliefs
19,43、INT. SHIP'S HALLWAY - CONTINUOUS,When does Carter trip Hu Li?,After he runs to the sound of the gunshot,"It's Carter, who ran to the sound of the gunshot, and TRIPPED Hu Li with his leg.",temporal references
20,31、EXT. HEAVEN ON EARTH MASSAGE PARLOR - AFTERNOON,"In [31、EXT. HEAVEN ON EARTH MASSAGE PARLOR - AFTERNOON], What is Carter's emotional state after seeing Ricky Tan?",Determined,Carter has a determined look on his face.,character states
21,18、INT. HEAVEN ON EARTH MASSAGE PARLOR - CONTINUOUS,Why does the hostess lead Carter to the hidden sliding door after he shows his Platinum AmEx card?,"The hostess leads Carter to the hidden sliding door because he demonstrates his ability to pay by showing his Platinum AmEx card, which indicates he is willing and able to afford the premium services offered.","Carter holds up a Platinum AmEx card and says he never leaves home without it. He tells Lee the massage is on him. The hostess takes Carter by the arm and leads him to a hidden sliding door, which she opens to reveal twenty beautiful women.",causal/relational queries
22,12、EXT. ROOF - CONTINUOUS,What happens to the bamboo pole after Lee and Carter hang from it?,"The bamboo pole bends under their weight, cracks, and then snaps.","The pole bends under their weight... The pole cracks and starts to give way... The bamboo groans, then snaps.",temporal references
23,12、EXT. ROOF - CONTINUOUS | 11、EXT. HONG KONG STREET - NIGHT | 29、EXT. HONG KONG STREET - DAY,What does Carter state about his situation when he is on the roof and after being attacked by Hu Li?,"Carter does not state anything about his situation verbally; his actions indicate he is responding to immediate danger, but no spoken statements are reported.","The passage describes Carter shouting for everyone to freeze upon emerging on the roof, but after being attacked by Hu Li and falling, there is no mention of him stating anything about his situation.",character states
24,34、INT. CHIN'S OFFICE - CONTINUOUS | 49、INT. 747 PASSENGER COMPARTMENT | 50、INT. CHEAP HOTEL ROOM - DOWNTOWN LA - NIGHT,Why does Carter believe Steven Reign is involved in the crime associated with Ricky Tan's boat?,"Carter believes Steven Reign is involved because he was seen giving orders to Hu Li on Ricky Tan's boat before the shooting and remained unusually calm during the gunfire, which Carter interprets as suspicious behavior consistent with his 'Rich White Man' theory.","Carter points to Steven Reign as their suspect, recalling that Reign was on Ricky Tan's boat giving orders to Hu Li just before the shooting, and explains that Reign remained unusually calm during the gunfire, unlike most white people who would hide or scream in panic.",causal/relational queries
25,26、INT. CAPTAIN DIEL'S OFFICE - LAPD HEADQUARTERS - DAY | 38、EXT. YACHT - CONTINUOUS | 47、EXT. YACHT - STERN - CONTINUOUS,Why does Carter begin to suspect that Steven Reign is involved in Hu Li's escape?,"Carter suspects Steven Reign is involved in Hu Li's escape because Reign remains calm and shows no reaction to the apparent attack, instead watching Hu Li leave without alarm and later walking away silently.","Reign is calm, his posture steady, his expression unreadable as he gazes at the escaping figure. He does not react like someone who has just survived a violent attack. After a silent moment, Reign turns and walks away, disappearing into the dark interior of the ship without a word.",causal/relational queries
26,12、EXT. ROOF - CONTINUOUS,What happens immediately after Hu Li delivers the windmill kick to Carter?,Carter falls along the side of the building and barely manages to grab hold of a protruding bamboo pole.,"After blindsiding Carter, Hu Li steps forward and spins on her heel, delivering a powerful windmill kick that sends him flying off the roof. He falls along the side of the building, barely managing to grab hold of a protruding bamboo pole.",temporal references
27,19、INT. QUIET ROOM MASSAGE PARLOR - DAY | 23、INT. LEE'S OFFICE - DAY | 29、EXT. HONG KONG STREET - DAY,What happens after Lee demands that Ricky Tan come with them for questioning?,"Ricky Tan rises, greets Lee with a smile, embraces him, and expresses sympathy for the pressure he must be under before declining the order and offering congratulations on Lee’s promotion.","After Lee demands that Tan come with them for questioning, Tan rises, greets Lee with a smile, and embraces him, expressing sympathy for the pressure he must be under. Lee repeats his order. Tan declines, bows slightly, and offers his congratulations on Lee’s promotion.",temporal references
28,43、INT. SHIP'S HALLWAY - CONTINUOUS | 45、INT. SHIP'S HALLWAY - CONTINUOUS | 47、EXT. YACHT - STERN - CONTINUOUS,Why does Carter suspect Reign of betrayal after Hu Li escapes?,"Carter suspects Reign of betrayal because Reign remains calm and shows no reaction to the violent attack, behaving unlike someone who has just survived a dangerous situation, and then silently walks away without concern.","Reign is calm, his posture steady, his expression unreadable as he gazes at the escaping figure. He does not react like someone who has just survived a violent attack. After a silent moment, Reign turns and walks away, disappearing into the dark interior of the ship without a word.",causal/relational queries
29,48、EXT. DOCK - NIGHT | 19、INT. QUIET ROOM MASSAGE PARLOR - DAY | 23、INT. LEE'S OFFICE - DAY | 50、INT. CHEAP HOTEL ROOM - DOWNTOWN LA - NIGHT,Why did Carter stop arguing with Lee during their confrontation on the dock?,"Carter stopped arguing with Lee because Lee revealed that Ricky Tan had killed his father five years earlier, which made Carter realize Lee had been pursuing an old case.","Lee revealed that Ricky Tan had killed his father five years earlier. Carter fell silent, listening. Carter realized Lee had been chasing an old case all along.",causal/relational queries
30,48、EXT. DOCK - NIGHT | 21、EXT. HONG KONG POLICE STATION - DAY | 32、INT. TAXI - EVENING,What happens after Carter gives the cab driver money?,The driver begins to drive the cab to follow the limo.,The driver takes the money and begins to drive.,temporal references
31,29、EXT. HONG KONG STREET - DAY,What does Carter do immediately after the man goes into the store?,Carter immediately runs off.,"The man says, 'Wait here. I'll go see if she's awake.' He turns and walks into the store. Carter immediately runs off.",temporal references
32,24、INT. SUPERINDENDENT CHIN'S OFFICE - DAY | 30、INT. HONG KONG POLICE STATION - BULL PEN - DAY,Why does Sterling warn Lee to stay out of the investigation?,"Sterling warns Lee to stay out of the investigation because the men killed the previous day were undercover U.S. customs agents, and the operation involves a larger Triad smuggling ring that extends beyond Ricky Tan and the Fu-Cang-Long Triads.","Sterling responds that the men killed the previous day were not translators but undercover U.S. customs agents working to break up a Triad smuggling ring. He warns that the information must remain confidential and tells Lee to stay out of their way, believing the operation extends beyond Tan and the Fu-Cang-Long Triads.",causal/relational queries
33,12、EXT. ROOF - CONTINUOUS,What happens immediately after Hu Li delivers a windmill kick to Carter?,"She steps back to the roof's edge, looks down at Lee and Carter hanging from a bamboo pole, sees no weapon within reach, and then turns and runs away.","After blindsiding Carter, Hu Li steps forward and spins on her heel, delivering a powerful windmill kick that sends him flying off the roof. Hu Li steps back to the roof's edge and looks down. Lee and Carter dangle side by side, gripping a bamboo pole jutting from the scaffolding. Seeing no weapon within reach, she turns and runs, vanishing into the night.",temporal references
34,18、INT. HEAVEN ON EARTH MASSAGE PARLOR - CONTINUOUS | 19、INT. QUIET ROOM MASSAGE PARLOR - DAY | 21、EXT. HONG KONG POLICE STATION - DAY | 32、INT. TAXI - EVENING,What does Carter state about the massage during his interaction at the massage parlor?,Carter states that the massage is on him.,He tells Lee the massage is on him.,character states
35,44、EXT. UPPER DECK - CONTINUOUS | 46、INT. UPPER DECK - CONTINUOUS | 47、EXT. YACHT - STERN - CONTINUOUS,Why does Carter suspect Reign of betrayal after Hu Li escapes?,"Carter suspects Reign of betrayal because Reign remains calm and shows no reaction to Hu Li's escape, behaving unlike someone who had just survived a violent attack, and then silently walks away into the ship.","Reign is calm, his posture steady, his expression unreadable as he gazes at the escaping figure. He does not react like someone who has just survived a violent attack. After a silent moment, Reign turns and walks away, disappearing into the dark interior of the ship without a word.",causal/relational queries
