id,scene,question,answer,evidence,qa_type
11,36、EXT. SHANGHAI ROOFTOPS - NIGHT,How does North move between chimneys?,"North jumps into one chimney, shoots out of another, and emerges with a bang from a third.","North jumps into one chimney, then shoots out of another across the way. North disappears down yet another chimney only to emerge with a bang out the top of another.",detailed description
12,26、INT. TOY FACTORY - NORTH POLE - DAY,"In [26、INT. TOY FACTORY - NORTH POLE - DAY], What is North's emotional state when he enters the factory?",Angry and peeved,"North storms through factory floor, Jack trying to keep up. (peeved - still rushing)",character states
13,26、INT. TOY FACTORY - NORTH POLE - DAY,"In [26、INT. TOY FACTORY - NORTH POLE - DAY], What is North's role in the factory?",Overseer of factory operations,"North gives orders to yeti, directs elves, and supervises activities",character states
14,28、INT. LAUNCHING SHED - A MOMENT LATER,"In [28、INT. LAUNCHING SHED - A MOMENT LATER], What is Bunny's emotional state when boarding the sleigh?",Frozen and terrified,"Bunny is frozen and unnerved... Bunny clutches the edge of his, terrified.",character states
15,37、INT. BOY'S BEDROOM - NIGHT,"In [37、INT. BOY'S BEDROOM - NIGHT], What is Jack's personality trait as described in the passage?",Cocksure,"Jack, cocksure, arrives outside an open window",character states
16,2、EXT. BURGESS SETTLEMENT - TOWN CENTER - CONTINUOUS,What does Jack say about his name?,My name is Jack Frost. The moon told me so.,JACK (V.O.) My name is Jack Frost -- how do I know that? The moon told me so.,dialogue/beliefs
17,28、INT. LAUNCHING SHED - A MOMENT LATER,"In [28、INT. LAUNCHING SHED - A MOMENT LATER], What is Jack's emotional state when he sees the sleigh?",Gob-smacked and surprised,"Jack is understandably gob-smacked, so much so that he almost gets knocked over by one of the reindeer.",character states
18,65、INT. NORTH POLE - GLOBE ROOM - DAY - MOMENTS LATER,Why are the lights on the globe going out?,Fear has tipped the balance.,Jack: 'It's fear. He's tipped the balance.',causal/relational queries
19,59、EXT. DOWNTOWN BURGESS - CONTINUOUS,"In [59、EXT. DOWNTOWN BURGESS - CONTINUOUS], What object does Jack use to hit the Nightmare?",His staff,Jack whips a blast from his staff and HITS the Nightmare,objects/props
20,21、INT. CUPCAKE'S BEDROOM - BURGESS - CONTINUOUS,"In [21、INT. CUPCAKE'S BEDROOM - BURGESS - CONTINUOUS], What is Pitch's emotional state after creating the nightmare?",Delighted.,"Pitch snickers, delighted.",character states
21,11、INT. EGG TUNNEL,How does the dimly-lit figure navigate the tunnels?,Races at blinding speed while leaping and zigzagging,"Speeding along through a subterranean tunnel, we can barely keep up with a DIMLY-LIT FIGURE as it races at blinding speed, leaping and zigzagging through a series of TUNNELS --",detailed description
22,25、INT. NORTH'S LIBRARY - DAY,"In [25、INT. NORTH'S LIBRARY - DAY], What is Bunny's behavioral state?",Grumbling with arms crossed.,"Bunny stands off to the side, grumbling with his arms crossed.",character states
23,17、EXT. JAMIE'S BACKYARD - DAY,What does Jack say about the Easter Bunny?,"He's real, annoying, grumpy, and full of himself.","Oh he's real alright. Real annoying, real grumpy, and really full of himself.",dialogue/beliefs
24,35、INT. TOOTH PALACE - LAGOON - MOMENTS LATER,How does the water react when Jack walks across it?,The water freezes under his feet,"Tooth leads Jack across the pond, the water freezing under his feet as he walks",detailed description
25,34、EXT. VILLAGE - NIGHT - FLASHBACK - CONTINUOUS,"In [34、EXT. VILLAGE - NIGHT - FLASHBACK - CONTINUOUS], What happens to Pitch after children run through him?",Pitch slips back into the shadows.,"Pitch, thinner and weaker... slips back into the shadows after children run through him.",detailed description
26,55、EXT. SKYLINE - NIGHT,"In [55、EXT. SKYLINE - NIGHT], What object do the Guardians use to disappear?",Snowglobe portal,The Guardians... disappear through a snowglobe portal,objects/props
27,33、EXT. VILLAGE - NIGHT - FLASHBACK,How does Pitch appear when revealed on the mountain?,Smiling as he stares up at the moon.,"Pitch, smiling as he stares up at the moon.",detailed description
28,17、EXT. JAMIE'S BACKYARD - DAY,What does Jamie claim about Big Foot?,He says hair samples and DNA were found in Michigan.,"It says here that they found Big Foot hair samples and DNA, in Michigan. That's like, super close!",dialogue/beliefs
29,6、EXT. NORTH POLE - CONTINUOUS,When does the Guardians' Call go out?,For the first time in decades,"for the first time in decades, the GUARDIANS' CALL GOES OUT!",temporal references
30,5、INT. NORTH'S GLOBE ROOM - CONTINUOUS,"In [5、INT. NORTH'S GLOBE ROOM - CONTINUOUS], What is the GLOBE OF BELIEF?",A structure covered with lights blanketing the continents.,THE GLOBE OF BELIEF Covered with LIGHTS blanketing the continents.,terminology/abbreviation/concept
31,30、EXT. SKY - SLEIGH JETTING THROUGH THE SKY,What visual details describe the sleigh's movement through the portal?,A surreal light surrounds the sleigh as it hits HYPERDRIVE and gets sucked through the snow-globe portal with a WHOOSH.,A surreal light surrounds the sleigh as it hits HYPERDRIVE and gets sucked through the snow-globe portal with a WHOOSH.,detailed description
32,13、INT. GLOBE ROOM - NIGHT,What does Bunny question about North's reason for summoning him?,He questions if it's because of North's belly.,"Hang on, hang on, you mean to say, you summoned me here THREE DAYS BEFORE EASTER because of your belly?",dialogue/beliefs
33,42、INT. BOY'S BEDROOM - NIGHT,"In [42、INT. BOY'S BEDROOM - NIGHT], Where does North fall into after leaving the bed?",A rabbit hole,He falls into a rabbit hole.,scene localization
34,11、INT. EGG TUNNEL,What action do the Easter eggs perform when they emerge from the ground?,Pop up and use their legs to move out of the way,A few EASTER EGGS pop up out of the ground; their little legs carry them out of the way of a fast approaching object.,detailed description
35,28、INT. LAUNCHING SHED - A MOMENT LATER | 46、EXT. SKYLINE - NIGHT | 32、INT. TOOTH PALACE - A MOMENT LATER,When does Jack take control of the sleigh?,Jack takes control of the sleigh when North spots a Nightmare ahead and hands him the reins.,"As the sleigh speeds through the vast chamber, North spots a Nightmare ahead and hands the reins to Jack.",temporal references
36,25、INT. NORTH'S LIBRARY - DAY | 35、INT. TOOTH PALACE - LAGOON - MOMENTS LATER | 36、EXT. SHANGHAI ROOFTOPS - NIGHT,Why does Jack agree to join the Guardians' mission to collect children's teeth?,Jack agrees to join the mission because North assures him that it will lead to finding his stolen memories.,"Jack stands quietly, then looks to North and asks if this will lead to finding his stolen memories. North assures him it will. Jack nods, agreeing to help.",causal/relational queries
37,29、EXT. SLEIGH - FLYING THROUGH THE SKY - CONTINUOUS | 28、INT. LAUNCHING SHED - A MOMENT LATER | 46、EXT. SKYLINE - NIGHT | 25、INT. NORTH'S LIBRARY - DAY,What does Jack say when the yetis lift him to his feet?,Jack protests and tells them to put him down.,"Two yetis step forward, grabbing Jack by the shoulders and lifting him to his feet. Jack protests, 'Hey, hey. Whoa, put me down.'",character states
38,23、EXT. BURGESS - NIGHT | 24、EXT. STREETS OF BURGESS - NIGHT - CONTINUOUS | 12、EXT. A SNOWY EXPANSE IN THE NORTH POLE,What happens after the yetis throw the sack containing Jack through the portal?,"The yetis charge into the portal after Jack, and the portal closes behind them.","They charge in after him, disappearing as the portal closes behind them.",temporal references
39,4、INT. NORTH'S WORKSHOP - DUSK,What happens after the ice locomotive soars into the air?,"Wings unfold from the locomotive and jet engines ignite, propelling it forward.","Midflight, wings unfold from the locomotive and jet engines ignite, propelling it forward.",temporal references
40,18、EXT. SNOWY HILL,What happens after Jack redirects the ice path as the snowplow approaches?,"The ice trail rises into a ramp, launching Jamie into the air, and he lands in a large snow mound.","As a snowplow approaches, Jack redirects the ice path, veering Jamie away just in time. The trail rises into a ramp, launching Jamie into the air. He soars over the street and lands with a soft thud in a large snow mound.",temporal references
41,25、INT. NORTH'S LIBRARY - DAY | 27、INT. NORTH'S OFFICE - A MOMENT LATER | 34、EXT. VILLAGE - NIGHT - FLASHBACK - CONTINUOUS,What happens immediately after Bunny announces that something is wrong at the Tooth Palace?,The Guardians and Jack rush after Pitch as he flees on Onyx into the dark depths below the Tooth Palace.,"After speaking his final words, Pitch turns as Bunny hurls boomerangs toward him. They slice through the air, missing their target as Pitch ducks and leaps onto the back of Onyx, his shadowy steed. The creature surges forward, plunging into the dark depths below the Tooth Palace. The Guardians and Jack rush after him without hesitation, diving into the chasm.",temporal references
42,21、INT. CUPCAKE'S BEDROOM - BURGESS - CONTINUOUS | 33、EXT. VILLAGE - NIGHT - FLASHBACK | 22、EXT. BURGESS - NIGHT,What does Pitch state about the Guardians when he speaks to the Moon?,Pitch states that his Nightmares are ready and questions whether the Guardians are ready.,"He looks up at the Moon and speaks to it, his voice filled with defiance. 'Don't look at me like that, old friend. You must have known this day would come. My Nightmares are finally ready. Are your Guardians?'",character states
43,25、INT. NORTH'S LIBRARY - DAY | 20、EXT. ROOF OF JAMIE'S HOUSE - CONTINUOUS,What does Jack state about his suitability for the Guardian role?,Jack states that he is not suited for the disciplined life of a Guardian and does not fit with their purpose.,"He declares he is not suited for the disciplined life of a Guardian, explaining that he doesn’t fit with their purpose.",character states
44,27、INT. NORTH'S OFFICE - A MOMENT LATER | 31、EXT. SKY - NEAR TOOTH'S PALACE | 32、INT. TOOTH PALACE - A MOMENT LATER | 35、INT. TOOTH PALACE - LAGOON - MOMENTS LATER,Why do the Guardians decide to collect children's teeth from around the world?,"The Guardians decide to collect children's teeth to restore belief in Tooth, which is fading as her feathers fall and the mural in her palace crumbles.","Tooth's feathers begin to fall and disappear into nothingness as cracks spread across the ancient mural in her palace, pieces of it crumbling away. North declares that they must act immediately—children around the world must be visited to collect their lost teeth, in the hope that belief in Tooth will be restored.",causal/relational queries
45,5、INT. NORTH'S GLOBE ROOM - CONTINUOUS | 28、INT. LAUNCHING SHED - A MOMENT LATER,What happens immediately after the sleigh launches into the sky?,Jack throws his arms up and shouts in exhilaration as the ground falls away beneath them.,The sleigh rockets to the end of the ramp and launches into the bright blue sky. Jack throws his arms up and shouts in exhilaration as the ground falls away beneath them.,temporal references
46,18、EXT. SNOWY HILL | 17、EXT. JAMIE'S BACKYARD - DAY | 18、EXT. SNOWY HILL,What does Jack claim about the sledding adventure and the missing tooth?,"Jack claims that the wild ride and all the fun were his doing, not the Tooth Fairy’s.","Jack watches, then calls out, insisting the wild ride and all the fun were his doing, not the Tooth Fairy’s.",character states
47,35、INT. TOOTH PALACE - LAGOON - MOMENTS LATER | 36、EXT. SHANGHAI ROOFTOPS - NIGHT,What does Tooth state about the contents of the children's teeth?,"Tooth states that the children's teeth hold their most important childhood memories, which are guarded by her fairies and can be returned when people need to remember what matters.","Tooth leads Jack across the pond and stops before a large mural that shows how children’s teeth hold their most important childhood memories, and how her fairies guard them. When people need to remember what matters, the memories are returned.",character states
48,13、INT. GLOBE ROOM - NIGHT | 32、INT. TOOTH PALACE - A MOMENT LATER | 35、INT. TOOTH PALACE - LAGOON - MOMENTS LATER | 36、EXT. SHANGHAI ROOFTOPS - NIGHT,Why do the Guardians decide to collect children's lost teeth?,"The Guardians decide to collect children's lost teeth to restore belief in Tooth, which is fading as her feathers fall and the mural in her palace crumbles.","Tooth's feathers begin to fall and disappear into nothingness as cracks spread across the ancient mural in her palace, pieces of it crumbling away... North steps forward and declares that they must act immediately—children around the world must be visited to collect their lost teeth, in the hope that belief in Tooth will be restored.",causal/relational queries
49,4、INT. NORTH'S WORKSHOP - DUSK | 28、INT. LAUNCHING SHED - A MOMENT LATER | 31、EXT. SKY - NEAR TOOTH'S PALACE | 32、INT. TOOTH PALACE - A MOMENT LATER,Why does North hand the reins to Jack during the sleigh ride?,North hands the reins to Jack so he can draw his sword and destroy a Nightmare ahead.,North spots a Nightmare ahead and hands Jack the reins of the sleigh. He draws his sword and slices the creature in half.,causal/relational queries
