scene,question,answer,evidence,qa_type
26、INT. TOY FACTORY - NORTH POLE - DAY,"In [26、INT. TOY FACTORY - NORTH POLE - DAY], What is North's role in the factory?",Overseer of factory operations,"North gives orders to yeti, directs elves, and supervises activities",character states
28、INT. LAUNCHING SHED - A MOMENT LATER,"In [28、INT. LAUNCHING SHED - A MOMENT LATER], What is Bunny's emotional state when boarding the sleigh?",Frozen and terrified,"Bunny is frozen and unnerved... Bunny clutches the edge of his, terrified.",character states
37、INT. BOY'S BEDROOM - NIGHT,"In [37、INT. BOY'S BEDROOM - NIGHT], What is Jack's personality trait as described in the passage?",Cocksure,"Jack, cocksure, arrives outside an open window",character states
2、EXT. BURGESS SETTLEMENT - TOWN CENTER - CONTINUOUS,What does Jack say about his name?,My name is Jack Frost. The moon told me so.,JACK (V.O.) My name is Jack Frost -- how do I know that? The moon told me so.,dialogue/beliefs
28、INT. LAUNCHING SHED - A MOMENT LATER,"In [28、INT. LAUNCHING SHED - A MOMENT LATER], What is Jack's emotional state when he sees the sleigh?",Gob-smacked and surprised,"Jack is understandably gob-smacked, so much so that he almost gets knocked over by one of the reindeer.",character states
65、INT. NORTH POLE - GLOBE ROOM - DAY - MOMENTS LATER,Why are the lights on the globe going out?,Fear has tipped the balance.,Jack: 'It's fear. He's tipped the balance.',causal/relational queries
59、EXT. DOWNTOWN BURGESS - CONTINUOUS,"In [59、EXT. DOWNTOWN BURGESS - CONTINUOUS], What object does Jack use to hit the Nightmare?",His staff,Jack whips a blast from his staff and HITS the Nightmare,objects/props
21、INT. CUPCAKE'S BEDROOM - BURGESS - CONTINUOUS,"In [21、INT. CUPCAKE'S BEDROOM - BURGESS - CONTINUOUS], What is Pitch's emotional state after creating the nightmare?",Delighted.,"Pitch snickers, delighted.",character states
11、INT. EGG TUNNEL,How does the dimly-lit figure navigate the tunnels?,Races at blinding speed while leaping and zigzagging,"Speeding along through a subterranean tunnel, we can barely keep up with a DIMLY-LIT FIGURE as it races at blinding speed, leaping and zigzagging through a series of TUNNELS --",detailed description
25、INT. NORTH'S LIBRARY - DAY,"In [25、INT. NORTH'S LIBRARY - DAY], What is Bunny's behavioral state?",Grumbling with arms crossed.,"Bunny stands off to the side, grumbling with his arms crossed.",character states
17、EXT. JAMIE'S BACKYARD - DAY,What does Jack say about the Easter Bunny?,"He's real, annoying, grumpy, and full of himself.","Oh he's real alright. Real annoying, real grumpy, and really full of himself.",dialogue/beliefs
35、INT. TOOTH PALACE - LAGOON - MOMENTS LATER,How does the water react when Jack walks across it?,The water freezes under his feet,"Tooth leads Jack across the pond, the water freezing under his feet as he walks",detailed description
34、EXT. VILLAGE - NIGHT - FLASHBACK - CONTINUOUS,"In [34、EXT. VILLAGE - NIGHT - FLASHBACK - CONTINUOUS], What happens to Pitch after children run through him?",Pitch slips back into the shadows.,"Pitch, thinner and weaker... slips back into the shadows after children run through him.",detailed description
55、EXT. SKYLINE - NIGHT,"In [55、EXT. SKYLINE - NIGHT], What object do the Guardians use to disappear?",Snowglobe portal,The Guardians... disappear through a snowglobe portal,objects/props
33、EXT. VILLAGE - NIGHT - FLASHBACK,How does Pitch appear when revealed on the mountain?,Smiling as he stares up at the moon.,"Pitch, smiling as he stares up at the moon.",detailed description
17、EXT. JAMIE'S BACKYARD - DAY,What does Jamie claim about Big Foot?,He says hair samples and DNA were found in Michigan.,"It says here that they found Big Foot hair samples and DNA, in Michigan. That's like, super close!",dialogue/beliefs
6、EXT. NORTH POLE - CONTINUOUS,When does the Guardians' Call go out?,For the first time in decades,"for the first time in decades, the GUARDIANS' CALL GOES OUT!",temporal references
5、INT. NORTH'S GLOBE ROOM - CONTINUOUS,"In [5、INT. NORTH'S GLOBE ROOM - CONTINUOUS], What is the GLOBE OF BELIEF?",A structure covered with lights blanketing the continents.,THE GLOBE OF BELIEF Covered with LIGHTS blanketing the continents.,terminology/abbreviation/concept
30、EXT. SKY - SLEIGH JETTING THROUGH THE SKY,What visual details describe the sleigh's movement through the portal?,A surreal light surrounds the sleigh as it hits HYPERDRIVE and gets sucked through the snow-globe portal with a WHOOSH.,A surreal light surrounds the sleigh as it hits HYPERDRIVE and gets sucked through the snow-globe portal with a WHOOSH.,detailed description
13、INT. GLOBE ROOM - NIGHT,What does Bunny question about North's reason for summoning him?,He questions if it's because of North's belly.,"Hang on, hang on, you mean to say, you summoned me here THREE DAYS BEFORE EASTER because of your belly?",dialogue/beliefs
42、INT. BOY'S BEDROOM - NIGHT,"In [42、INT. BOY'S BEDROOM - NIGHT], Where does North fall into after leaving the bed?",A rabbit hole,He falls into a rabbit hole.,scene localization
11、INT. EGG TUNNEL,What action do the Easter eggs perform when they emerge from the ground?,Pop up and use their legs to move out of the way,A few EASTER EGGS pop up out of the ground; their little legs carry them out of the way of a fast approaching object.,detailed description
