id,scene,question,answer,evidence,qa_type
19,46、INT. BEN GURION AIRPORT - CHERTZ CAR RENTAL COUNTER,What does 'Chello' refer to in the dialogue?,A mispronounced or exaggerated version of 'Hello'.,The Israeli Rental Agent says 'Chello' with a Ch sound and spittle.,terminology/abbreviation/concept
20,28、EXT. DUKE'S BAR - CONTINUOUS,"In [28、EXT. DUKE'S BAR - CONTINUOUS], What is the Hammer's behavioral state when pouring Manischewitz?",Methodical,pours the Manischewitz out on the astroturf lawn in a methodical manner,character states
21,55、EXT. NORTH POLE - DAY,"In [55、EXT. NORTH POLE - DAY], Where are Hammer and Mo when they use the binoculars?",On a snow-covered bluff,The Hammer and Mo crawl onto the snow covered bluff overlooking Santa's Workshop.,scene localization
22,51、INT. JEWISH ATOMIC CLOCK - MOMENTS LATER,What is the Jewish Atomic Clock?,A large clock with Jewish holidays on its face and the year 5734 on an odometer.,"The clock's face features Jewish holidays instead of numerals, with '5734' on an odometer-like gauge.",terminology/abbreviation/concept
23,29、INT. JEWISH HOME - DAY,"In [29、INT. JEWISH HOME - DAY], What is Maccabee's emotional state when he hears his mother's call?",Disgusted,Maccabee looks over his shoulder in disgust,character states
24,41、INT. THE HAMMER'S PAD - NIGHT,What camera movement is described as transitioning from the stereo to the dancers?,A SLOW PAN from the stereo into a TIGHT SHOT.,We do a SLOW PAN from the stereo into a TIGHT SHOT of Esther and the Hammer slow dancing.,detailed description
25,40、INT. THE GOLDEN MENORAH - CONTINUOUS,What does Joshua ask the Hammer?,Wanna cut a rug?,"JOSHUA: Hey Morty, wanna cut a rug?",dialogue/beliefs
26,19、INT. KARATE ROOM - CONTINUOUS,"In [19、INT. KARATE ROOM - CONTINUOUS], What is The Hammer's emotional state when meeting Sammy Davis Jr. Jr.?",A bit taken back,The Hammer is a bit taken back.,character states
27,11、EXT. THE JEWISH DEFENSE LEAGUE - DAY,"In [11、EXT. THE JEWISH DEFENSE LEAGUE - DAY], What is the shape of the building described?",Star Of David,A building resembling the Pentagon with the exception that it's shaped like the Star Of David.,objects/props
28,23、INT. KWANZAA LIBERATION FRONT HQ - MOMENTS LATER,"In [23、INT. KWANZAA LIBERATION FRONT HQ - MOMENTS LATER], What is Mohammed's role in the operation?",Leader of the operation,"Mohammed, clearly the leader of the operation, pushes his way through.",character states
29,37、INT. CAVERNOUS ROOM - MOMENTS LATER | 38、EXT. ALLEY - DAY | 41、INT. THE HAMMER'S PAD - NIGHT,What does Harriet Tubbelman state about safety once the ride begins?,She states that they should be safe from that point onward as long as they follow the river to its conclusion.,"'You should be safe from here on out,' she says. 'Just follow the river to its conclusion.'",character states
30,45、EXT. BEN GURION AIRPORT - ISRAEL - DAY | 46、INT. BEN GURION AIRPORT - CHERTZ CAR RENTAL COUNTER,What does the Hammer say he wants to rent when speaking to the Israeli rental agent?,"The Hammer says he wants to rent the biggest Cadillac available, preferably one that is lowered and has white wall tires.","The Hammer approaches the counter and asks the Israeli rental agent if she speaks English. After she confirms, he tells her he wants to rent the biggest Cadillac they have, preferably lowered with white wall tires.",character states
31,38、EXT. ALLEY - DAY | 43、INT. HAMMER'S BEDROOM - MORNING | 44、INT. JEWISH DEFENSE LEAGUE - MAIN CHAMBER - DAY,What does the Hammer state about his relationship with Esther after learning about the conversation with his mother?,The Hammer states that they can no longer be together romantically.,"He tells her he thought they had something real, and when she pleads that they still do, he pauses and says he’s sorry but they can’t be together romantically anymore.",character states
32,6、EXT. GHETTO ALLEY - MOMENTS LATER | 23、INT. KWANZAA LIBERATION FRONT HQ - MOMENTS LATER | 44、INT. JEWISH DEFENSE LEAGUE - MAIN CHAMBER - DAY,Why does The Hammer leave without Esther despite her wanting to join him?,The Hammer leaves without Esther because he believes the mission is too dangerous and that his days of working with her are over.,"Esther pleads to join, but Hammer refuses, insisting the mission is too dangerous and that his days of working with her are over.",causal/relational queries
33,40、INT. THE GOLDEN MENORAH - CONTINUOUS,What does the Hebrew Hammer state about his frequency of visiting the bar?,He states that he visits the bar about once a week.,"The Hammer calls back, 'Yeah, about once a week!' and then repeats it louder when Esther does not initially hear.",character states
34,43、INT. HAMMER'S BEDROOM - MORNING | 44、INT. JEWISH DEFENSE LEAGUE - MAIN CHAMBER - DAY,What does the Hammer state about his relationship with Esther after learning about the conversation with his mother?,The Hammer states that they can no longer be together romantically.,"He tells her he thought they had something real, and after she pleads that they still do, he pauses and says he’s sorry but they can’t be together romantically anymore.",character states
35,13、INT. HEBREW HAMMER INVESTIGATIONS - PRIVATE OFFICE - DAY | 15、INT. MRS. CARVER'S DINING ROOM - 4 HOURS LATER,What does Esther state about the sign on Mordechai Hammer's office door?,Esther states that she does not understand the meaning of the sign and demands to see credentials related to it.,She asks him seriously what it means and demands to see his credentials.,character states
36,37、INT. CAVERNOUS ROOM - MOMENTS LATER | 41、INT. THE HAMMER'S PAD - NIGHT,Why does Harriet Tubbelman tell Esther and the Hammer to keep their arms and legs inside the boat?,She tells them to keep their arms and legs inside the boat to ensure their safety during the ride.,"She reminds them to keep their arms and legs inside the boat at all times, indicating a safety precaution for the journey.",causal/relational queries
37,14、EXT. MRS. CARVER'S HOUSE - SHABAT | 15、INT. MRS. CARVER'S DINING ROOM - 4 HOURS LATER,What does Mrs. Carver state about her interaction with Esther when the Hammer returns to the dining room?,Mrs. Carver states that she was explaining something to Esther while the Hammer was away.,"She begins telling him about how she was just explaining something to Esther, her voice smooth and deliberate, taking control of what is said.",character states
38,47、EXT. ISRAELI OPEN HIGHWAY - DAY | 48、INT. ESTHER'S CADILLAC - CONTINUOUS | 49、EXT. ISRAELI OPEN HIGHWAY - CONTINUOUS,What does Esther do after the Hammer passes by in his Cadillac?,Esther gets into her car and follows the Hammer onto the highway.,"The Hammer speeds by in his large Cadillac, unaware of her presence. She gets into her car, starts the engine, and pulls out after him. Esther pulls off from a side road and merges onto the highway, following the Hammer.",temporal references
39,47、EXT. ISRAELI OPEN HIGHWAY - DAY | 33、INT. HAMMER'S CADDY - CONTINUOUS,What does the Hammer tell Shlomo about the videotape he gives him?,The Hammer tells Shlomo to get home and watch the videotape as soon as possible.,"The Hammer tells him, 'Get yourself home and watch this as soon as possible.'",character states
40,33、INT. HAMMER'S CADDY - CONTINUOUS | 6、EXT. GHETTO ALLEY - MOMENTS LATER,What does The Hammer tell Shlomo to do after comforting him?,The Hammer tells Shlomo to stay Jewish.,"As The Hammer turned to leave, he pointed back at Shlomo and said, 'Stay Jewish.'",character states
41,13、INT. HEBREW HAMMER INVESTIGATIONS - PRIVATE OFFICE - DAY | 15、INT. MRS. CARVER'S DINING ROOM - 4 HOURS LATER | 44、INT. JEWISH DEFENSE LEAGUE - MAIN CHAMBER - DAY,When does the meeting end in relation to the Sabbath?,The meeting ends just before the Sabbath begins at sundown.,"Hammer stands up from his desk and announces that the meeting must end, as the Sabbath begins at sundown.",temporal references
42,13、INT. HEBREW HAMMER INVESTIGATIONS - PRIVATE OFFICE - DAY | 41、INT. THE HAMMER'S PAD - NIGHT,Why does Esther question the meaning of the sign on Mordechai Hammer's door?,"Esther questions the meaning of the sign because she is confused and wants to understand its significance, demanding to see his credentials as a result.","She pauses and stares at the sign on his door that reads 'certified circumcised dick,' asks him seriously what it means, and demands to see his credentials.",causal/relational queries
43,40、INT. THE GOLDEN MENORAH - CONTINUOUS | 26、EXT. DUKE'S BAR - DAY,When does the Hammer arrive at the bar in relation to Esther shouting across the wall?,The Hammer arrives at the bar before Esther shouts across the wall.,"The passage first describes the Hammer arriving and entering the bar, and only afterward describes the scene where Esther shouts across the wall to him, indicating the sequence of events.",temporal references
