scene,question,answer,evidence,qa_type
37、INT/EXT. NORLAND PARK - STABLES - DAY,Why does Edward mention his education to Elinor?,To confess something important about his past.,EDWARD: 'There is something of great importance I need... to tell you--' and later mentions his education in Plymouth.,causal/relational queries
44、EXT. BARTON COTTAGE - GARDEN - DAY,What causes Margaret's petticoats to snag and tear?,Her attempt to climb the impossible tree.,MARGARET tries to climb an impossible tree. Her petticoats snag and tear.,causal/relational queries
54、INT. KEEPER'S LODGE - BARTON PARK - DAY,What does Colonel Brandon say about Marianne Dashwood's opinion of him?,"Marianne Dashwood would no more think of me than she would of you, John.","COLONEL BRANDON
Marianne Dashwood would no more think of me than she would of you, John.",dialogue/beliefs
11、EXT. NORLAND PARK - MARGARET'S TREE-HOUSE - DAY,"In [11、EXT. NORLAND PARK - MARGARET'S TREE-HOUSE - DAY], What is Margaret's emotional state as indicated by her voice?",Truculent (defiant),disembodied and truculent young voice,character states
50、EXT. BARTON PARK - FRONT STEPS - EVE,Why does Colonel Brandon react to the song?,The song triggers his pained surprise.,"His head snaps up to the windows. An expression of pained surprise comes into his melancholy, brooding eyes.",causal/relational queries
27、INT. NORLAND PARK - DRAWING ROOM - ANOTHER DAY,What does 'first principles of sword-fighting' refer to in the passage?,Basic techniques of sword-fighting taught by Edward to Margaret.,EDWARD proceeds to teach her the first principles of sword-fighting.,terminology/abbreviation/concept
61、INT. BARTON COTTAGE - FRONT DOOR - DAY,What does Elinor ask the Stranger to do when they reach the door?,"In here, sir--this way. Margaret, open the door wider. Please, sir, lay her here.","ELINOR In here, sir--this way. Margaret, open the door wider. Please, sir, lay her here.",dialogue/beliefs
49、INT. BARTON PARK - DINING ROOM - EVE,"In [49、INT. BARTON PARK - DINING ROOM - EVE], What is Elinor's behavioral state during the conversation?",Tries to stay calm,ELINOR tries to stay calm,character states
13、INT. NORLAND PARK - SERVANTS' HALL - DAY,"In [13、INT. NORLAND PARK - SERVANTS' HALL - DAY], What is Betsy's status among the servants?",Retained servant and described as a capable woman,retain only Thomas and Betsy. a capable woman,character states
56、EXT. BARTON PARK - GARDENS - DAY,Why does Colonel Brandon say he hasn't played for them?,Because you have a far superior musician.,For the simple reason that you have a far superior musician he,dialogue/beliefs
70、INT. BARTON COTTAGE - ELINOR AND MARIANNE'S BEDROOM - DAY,What action does Elinor perform with the handkerchief?,She presses the handkerchief to her eyes,Tears stand in her eyes but she presses the handkerchief to them before they fall.,detailed description
56、EXT. BARTON PARK - GARDENS - DAY,"In [56、EXT. BARTON PARK - GARDENS - DAY], What does Mrs. Jennings say about Colonel Brandon's past love?",He loved a girl twenty years ago who was poor.,"He loved a girl once--twenty years ago now--a ward to his family, but they were not permitted to marry...",dialogue/beliefs
