scene,question,answer,evidence,qa_type
39、INT. LIVING ROOM - 221B BAKER STREET - DAY,"In [39、INT. LIVING ROOM - 221B BAKER STREET - DAY], What is Gabrielle's emotional state when she confronts Holmes?",Agitated and tearful,"agitated, tears welling up in her eyes",character states
47、EXT. GLENNAHURICH CEMETARY - DAY,What does Gabrielle believe about the two small coffins?,They must be children's coffins.,GABRIELLE The two small ones -- they must be children's coffins.,dialogue/beliefs
22、EXT. BAKER STREET - NIGHT,"In [22、EXT. BAKER STREET - NIGHT], Where does Von Tirpitz step out?",Across the street into a pool of light from a street lamp,a man steps out of the fog into a pool of light cast by one of the street lamps,scene localization
26、INT. HOLMES' BEDROOM - DAWN,"In [26、INT. HOLMES' BEDROOM - DAWN], What is Holmes doing in the passage?",Studying a square of cardboard with green smudges,studying the square of cardboard with the green smudges on it,character states
24、EXT. BAKER STREET - DAWN,"In [24、EXT. BAKER STREET - DAWN], What is the policeman's emotional state after the wagon passes?",relieved,"steps out of the doorway relieved, resumes his patrol",character states
34、EXT. DIOGENES CLUB - DAY,"In [34、EXT. DIOGENES CLUB - DAY], What is written on the discreet sign beside the building's entrance?",DIOGENES CLUB. Members Only.,Beside the entrance is a discreet sign reading: DIOGENES CLUB. Members Only.,objects/props
68、INT. TENT - NIGHT,"In [68、INT. TENT - NIGHT], Where did the test run occur that caused a leak in the hull?",Moray Firth,"During a test run in Moray Firth, pressure caused a leak in the hull.",scene localization
13、INT. LIVING ROOM - 221B BAKER STREET - NIGHT,What is Holmes wearing as he sits in the wing chair?,A smoking jacket instead of a dinner coat,"Holmes, his dinner coat replaced by a smoking jacket, is sitting in the wing chair",detailed description
15、INT. LIVING ROOM - NIGHT,What does Holmes do with the wing chair?,Twists it so its back is to the door,"Holmes rises casually, twists the wing chair so that its back is to the door",detailed description
51、INT. HOTEL CORRIDOR - DAY,What does Watson assume about his room?,He assumes he is being put in the basement.,WATSON: I suppose you're putting me in the basement.,dialogue/beliefs
39、INT. LIVING ROOM - 221B BAKER STREET - DAY,"In [39、INT. LIVING ROOM - 221B BAKER STREET - DAY], What is Gabrielle's behavioral state after her confrontation with Holmes?",She hurries off to pack,She hurries off toward Watson's room,character states
60、EXT. URQUHART CASTLE - DAY,"In [60、EXT. URQUHART CASTLE - DAY], Where is the encampment of tents located?",Amidst the rubble of the Nether Bailey,"Amidst the rubble of the Nether Bailey, an encampment of tents has been set up",scene localization
11、INT. THEATRE - NIGHT,How does Petrova exit the stage?,She exits backwards on points.,"Petrova is making an exit, backwards, on points.",detailed description
24、EXT. BAKER STREET - DAWN,"In [24、EXT. BAKER STREET - DAWN], What is the policeman's emotional state when he sees something up ahead?",alarmed,"Alarmed, he ducks into the doorway of a building",character states
50、INT. HOTEL ROOM - DAWN,What does the Manager say about the view from the room?,The Manager says the view of the loch is lovely once the morning mist rolls away.,MANAGER: You have a lovely view of the loch from here -- as soon as the morning mist rolls away.,dialogue/beliefs
6、EXT. BAKER STREET - DAY,What does 'binges' refer to in the passage?,"A period of excessive or intense behavior, specifically drug use.","Once he went one of these dreadful binges, there was no telling how long it would last.",terminology/abbreviation/concept
