id,scene,question,answer,evidence,qa_type
39,33、INT. EMPTY SHOP - DAY | 36、INT. STUDY - DIOGENES CLUB - DAY,"Why did Holmes conclude they were in Inverness, Scotland?","Holmes concluded they were in Inverness, Scotland, because he found a scrap of newspaper from inside the cage that was identified as The Inverness Courier.","Holmes picked up a scrap of newspaper from inside the cage and held it out—The Inverness Courier. From this, he concluded they were in Inverness, Scotland.",causal/relational queries
40,38、INT. DOWNSTAIRS - 221B BAKER STEET - DAY | 33、INT. EMPTY SHOP - DAY | 34、EXT. DIOGENES CLUB - DAY | 35、INT. LOBBY - DIOGENES CLUB - DAY,What time did Watson believe it was when Holmes received the summons from Mycroft?,Watson believed it was 10:43 when Holmes received the summons from Mycroft.,Watson glanced at his watch and said it was 10:43.,temporal references
41,1、INT. BANK VAULT - DAY,"What items were found inside Watson's dispatch box, and how were they described as being handled by the guards?","Inside Watson's dispatch box, the guards found a daguerreotype of Holmes and Watson in a formal pose, Holmes' deerstalker hat, curved pipe, and magnifying glass, Watson's stethoscope, Holmes' revolver, a small enamel 221B sign, a pair of handcuffs, a sheet of music paper with a violin piece titled FOR ILSE von H, a pocket watch containing a photograph of Gabrielle Valladon, a signet ring with S.H. initials that concealed a compass, a worn morocco case with an early-model hypodermic syringe, a crystal ball that created a snowstorm effect revealing a bust of Queen Victoria, and a thick stack of manuscript paper tied with green ribbon. The guards carefully removed each item one by one, dusted the box, cut the wax-sealed cord, used the attached key to unlock it, and handled the contents with deliberate attention, including untying the ribbon on the manuscript and brushing dust from its top page.","The guards open the battered tin dispatch box labeled JOHN H. WATSON, M.D., and begin removing its contents one by one. They take out a daguerreotype of Holmes standing and Watson seated in a formal studio pose, followed by Holmes' deerstalker hat, his curved pipe, and his magnifying glass. Watson's stethoscope, Holmes' revolver, and a small enamel sign with the number 221B are laid out on the table. Next comes a pair of handcuffs, then a sheet of music paper unrolled to reveal a violin piece composed by Holmes, titled FOR ILSE von H. A pocket watch is produced, its back opening to show a photograph of Gabrielle Valladon. A signet ring engraved with the initials S.H. is revealed, concealing a compass beneath its surface. A worn morocco case contains an early-model hypodermic syringe. A crystal ball is shaken, creating a snowstorm inside; when the snow settles, a bust of Queen Victoria becomes visible. Finally, the guards remove a thick stack of manuscript paper bound with green ribbon. One guard unties the ribbon and brushes dust from the top page.",detailed description
42,49、EXT. CALEDONIAN HOTEL - DAWN | 31、INT. LIVING ROOM - DAY | 23、INT. LIVING ROOM - 221B BAKER STREET - NIGHT | 33、INT. EMPTY SHOP - DAY | 36、INT. STUDY - DIOGENES CLUB - DAY,What does Holmes state about Watson's appearance when Gabrielle asks which of them is Mr. Holmes and which is Dr. Watson?,Holmes states that Dr. Watson is the handsome one.,Holmes replies that Dr. Watson is the handsome one.,character states
43,15、INT. LIVING ROOM - NIGHT | 4、INT. LIVING ROOM - 221B BAKER STREET - DAY | 23、INT. LIVING ROOM - 221B BAKER STREET - NIGHT,What does Watson state about Gabrielle's origin?,"Watson states that Gabrielle is from Brussels, Belgium.","He told her that Gabrielle was Belgian, from Brussels.",character states
44,4、INT. LIVING ROOM - 221B BAKER STREET - DAY | 50、INT. HOTEL ROOM - DAWN | 23、INT. LIVING ROOM - 221B BAKER STREET - NIGHT | 39、INT. LIVING ROOM - 221B BAKER STREET - DAY,What does Gabrielle state about her intention after thanking Holmes?,Gabrielle states that she will go and pack.,"Gabrielle said, 'I'll go and pack,' and hurried toward Watson's room.",character states
45,48、EXT. GLENNAHURICH CEMETARY - NIGHT | 33、INT. EMPTY SHOP - DAY | 36、INT. STUDY - DIOGENES CLUB - DAY,Why does Mycroft order Holmes to drop the investigation?,Mycroft orders Holmes to drop the investigation because the matter falls under the authority of Her Majesty's government.,"Mycroft refuses to disclose anything, stating that the matter falls under the authority of Her Majesty's government and orders that the investigation be dropped.",causal/relational queries
46,4、INT. LIVING ROOM - 221B BAKER STREET - DAY | 50、INT. HOTEL ROOM - DAWN | 23、INT. LIVING ROOM - 221B BAKER STREET - NIGHT | 44、INT. SLEEPING COMPARTMENT - NIGHT,What does Holmes state about women after recounting the story of his fiancée's sudden death?,Holmes states that women are unreliable and not to be trusted.,"After recounting the story of his fiancée's sudden death, Holmes states that women are unreliable and not to be trusted.",character states
47,11、INT. THEATRE - NIGHT | 12、INT. DRESSING ROOM - NIGHT,What does Watson state about Petrova during the performance?,Watson states that Petrova is a fabulous woman.,"Watson turns to Holmes, impressed. 'Fabulous woman, don't you think so, Holmes?'",character states
48,45、INT. THIRD CLASS CARRIAGE - NIGHT | 46、EXT. INVERNESS STATION - DAY,What does the monk state about where the trail leads and where they must find Valladon?,The monk states that the trail leads to Inverness and that they must find Valladon there.,"The monk whispers, 'Die Spur führt nach Inverness. Die steigen dort aus. Dort müssen wir ihn finden – den Valladon!'",character states
49,36、INT. STUDY - DIOGENES CLUB - DAY,What does Mycroft state about the origin of the Madeira wine he serves?,Mycroft states that the Madeira wine was produced one year before the Battle of Waterloo.,Mycroft notes it was produced one year before the Battle of Waterloo.,character states
