scene,question,answer,evidence,qa_type
27、INT. LOCKER ROOM - DAY,"In [27、INT. LOCKER ROOM - DAY], What is Roland Lamont's physical condition?",Suffering from a severe knee injury that ended his career.,My knee turned into wet toilet paper. End of career.,character states
"41、INT. BAR (QUEENS, NEW YORK)",What did the mafioso witness regarding Lou and the godfather's hat?,Lou kicked the ball that knocked the godfather's hat off,This is the same mafioso type who saw Lou kick the ball that knocked the godfather's hat off,detailed description
21、INT. BUS - MORNING,"In [21、INT. BUS - MORNING], What action is Jamal attempting?",Pulling out a nine-millimeter pistol,Jamal reaches into his jacket and starts to pull out a nine-millimeter pistol.,character states
5、INT. CONTROL BOOTH - DAY,What does Summerall say about the Redskins' running game?,That play sums up the Redskins' running game all day long.,"That play, my friends, sums up the Redskins' running game all day long.",dialogue/beliefs
57、INT. EDDIE MARTEL'S HOUSE - NIGHT,"In [57、INT. EDDIE MARTEL'S HOUSE - NIGHT], What is shown on the television?",Pacifico conducting and the entire restaurant singing,We're ON a TELEVISION showing Pacifico conducting and the entire restaurant singing.,objects/props
36、INT. TUNNEL - DAY,What is Shane doing while looking out at the field?,Looking out through a blow-up helmet while appearing scared.,Shane is looking out at the field through the blow-up helmet. He looks scared.,detailed description
42、EXT. BIG O - ON SHANE - DAY,What does Madden say about the field goal attempt?,This will be a forty-five yarder. That's a tough distance for your first N.F.L. field goal try.,MADDEN (V.O.) This will be a forty-five yarder. That's a tough distance for your first N.F.L. field goal try.,dialogue/beliefs
49、INT. HALLWAY - NIGHT,"In [49、INT. HALLWAY - NIGHT], Who possesses the key mentioned in the passage?",The Woman in Blue,"She checks the hallway, takes the key from Shane and sticks it in the lock.",objects/props
40、EXT. GAME - ANGLE ON SCOREBOARD - SECOND QUARTER,How does the huddle move after Shane's instruction?,move in unison with tiny steps to their left,Eleven bentover guys move in unison with tiny steps to their left.,detailed description
36、INT. TUNNEL - DAY,How does the crowd in the stands behave?,"A sparse crowd decked out in burgundy and gold cheers like mad, looking drunk.",A sparse crowd is in attendance... They look drunk already as they cheer like mad.,detailed description
37、INT. TUNNEL,What happens to Bateman after he trips inside the helmet?,He bounces twice and is shot out like a cannonball.,"He trips big-time into the side of the helmet. He bounces ... to the other side, bounces again and is shot out of the front of it like a cannon ball.",detailed description
44、EXT. FIELD - DAY,How does Earl make the interception?,Deftly steps in front of the guy and makes a diving catch,"Earl is covering the intended receiver. He deftly steps in front of the guy, and makes a diving catch.",detailed description
37、INT. TUNNEL,How are the cheerleaders affected when Bateman bounces out?,"They are knocked down, and one is knocked out of her shoes.",Cheerleaders are down and screaming in pain. One girl is knocked out of her shoes.,detailed description
45、EXT. FIELD - DAY,What does Shane ask the group to recall?,"Okay, let's all take a few seconds to think about what we were doing for a living... just last week.","SHANE Okay, let's all take a few seconds to think about what we were doing for a living... just last week.",dialogue/beliefs
2、EXT. MARINA DEL REY HARBOR - DAY,"In [2、EXT. MARINA DEL REY HARBOR - DAY], What role does Shane perform based on his actions?",A service provider who ties the dinghy and clips a bill for services rendered.,He ties the dinghy to the rear rail of the sailboat and clips a bill for services rendered on the sailboat's stern line.,character states
25、EXT. FIELD - DAY,"In [25、EXT. FIELD - DAY], What is Mickey Lee's physical condition?",A 450-pound ex-Sumo wrestler,He's a fourhundred-fifty-pound ex-Sumo wrestler crammed into a Redskin uniform.,character states
28、EXT. BIG O PARKING LOT - MORNING,"In [28、EXT. BIG O PARKING LOT - MORNING], What is Jamal's role according to his statement?",He is a guard who protects the quarterback.,We're the people who take care of the quarterback. We're the guards.,character states
17、EXT. HIGH SCHOOL PRACTICE FIELD - DAY,What does Roland express after receiving the phone call?,"Thank you, Lord!","ROLAND (to the sky) Thank you, Lord!",dialogue/beliefs
35、EXT. BIG O - DAY,What is the meaning of 'Sugar Bowl' in the passage?,A college football bowl game mentioned as an event where Shane Falco played.,Sugar Bowl Falco quarterbacked when Florida State creamed them?,terminology/abbreviation/concept
27、INT. LOCKER ROOM - DAY,"In [27、INT. LOCKER ROOM - DAY], What is Shane's emotional state?",Glad to be back playing.,SHANE ... just glad to be back playing.,character states
