doc_title,chunk_id,description,scene_context
45 茶楼	内	日,doc_44_chunk_0,陈识来到房中,
44 街道	外	日,doc_43_chunk_0,陈识在街口遇到两位武行弟子,街口
44 街道	外	日,doc_43_chunk_0,陈识跟着两位上楼,街口
25 陈识家	内	夜,doc_24_chunk_0,陈识将女人放在床上,房内，师娘睡着
25 陈识家	内	夜,doc_24_chunk_0,陈识走到院内,院内，耿良辰喊师父后
25 陈识家	内	夜,doc_24_chunk_0,陈识回房内坐床边,房内，耿良辰带螃蟹后
64 酒店	内	日,doc_64_chunk_0,陈识在酒店准备去新武馆，犹犹豫豫,酒店，准备去新武馆
64 酒店	内	日,doc_64_chunk_0,转身走到赵国卉身边，脸冲着我,酒店，准备去新武馆
82 火车站	外	日,doc_82_chunk_0,陈识站在火车边四处张望,火车站内，火车边
82 火车站	外	日,doc_82_chunk_0,陈识抱起小黄狗抚摸,火车站内，火车边
82 火车站	外	日,doc_82_chunk_0,失魂落魄的陈识漫漫的走在火车站内,火车站内
70 新武馆	内	日,doc_70_chunk_0,突然陈识在屏幕后一刀将放映的幕布劈下,大堂，放映《火烧红莲寺》
70 新武馆	内	日,doc_70_chunk_0,陈识坐下取下木棒上刀,大堂，放映《火烧红莲寺》
70 新武馆	内	日,doc_70_chunk_0,陈识低下头隐忍着泪水,大堂，放映《火烧红莲寺》
70 新武馆	内	日,doc_70_chunk_0,陈识拭去滴在刀上的泪水,大堂，放映《火烧红莲寺》
65 街道	外	日,doc_65_chunk_0,陈识停车,车里，看到书摊
65 街道	外	日,doc_65_chunk_0,陈识收起书,茶摊
65 街道	外	日,doc_65_chunk_0,陈识起身离开,茶摊
65 街道	外	日,doc_65_chunk_0,陈识转身向茶汤女鞠了一躬,茶摊
10 湖边	外	日,doc_9_chunk_0,陈识在湖边等待,湖边，等待谈判
10 湖边	外	日,doc_9_chunk_0,看到郑山傲下马车,湖边，等待谈判
76 街头	外	日,doc_76_chunk_0,陈识隐藏在茶馆,茶馆内
76 街头	外	日,doc_76_chunk_0,陈识用双刀一一放倒离开，而后将一人脸上划了一刀,茶馆内
76 街头	外	日,doc_76_chunk_0,陈识离开茶馆，从街面奋力跑向火车站,茶馆外，街面
