id,scene,question,answer,evidence,qa_type
11,2、INT DOCTOR'S OFFICE - SAME,What does Hazel express uncertainty about regarding the doctor's suggestion?,Whether the support group is for her,HAZEL: I'm not sure it's for me.,dialogue/beliefs
12,18、INT GUS'S CAR - SAME,"In [18、INT GUS'S CAR - SAME], What is Hazel's physical condition according to her dialogue?",Her tumors have shrunk and her metastases have hardly grown.,"Tumors shrank, my mets have hardly grown since...",character states
13,2、INT DOCTOR'S OFFICE - SAME,What does Hazel compare herself to when discussing her ability to handle medication?,The Keith Richards of cancer kids,HAZEL: I'm like the Keith Richards of cancer kids.,dialogue/beliefs
14,1、INT DOCTOR'S OFFICE - DAY,What belief does Hazel express about the cause of depression?,"Depression is a side effect of dying, not cancer.",HAZEL (V.O.): ...it's a side effect of dying.,dialogue/beliefs
15,41、INT HOSPITAL ROOM - ICU - MORNING,What is the function of the TUBE mentioned in the passage?,It drains fluid from Hazel's side into a plastic bladder.,There's a TUBE in Hazel's side draining fluid into a plastic bladder that hangs off her bed.,terminology/abbreviation/concept
16,6、INT HAZEL'S KITCHEN - ANOTHER DAY,What causes Michael to correct Hazel's claim about taking pot?,Hazel's assertion that she would know such things with a fake ID,"HAZEL: See, that's the kind of thing I would know with a fake ID. MICHAEL: You don't take pot.",causal/relational queries
17,1、INT DOCTOR'S OFFICE - DAY,What does Hazel claim about her mental state during the doctor's visit?,I'm not depressed.,HAZEL: I'm not depressed.,dialogue/beliefs
18,16、INT ICU - THE NEXT MORNING,What does Hazel claim about her condition?,I got better. Stronger.,And in time I got better. Stronger.,dialogue/beliefs
19,31、EXT SUBURBAN STREET - LATER,What does Hazel do when Gus mentions 'crush'?,"Looks away, blushing","Hazel looks away, blushing.",detailed description
20,34、INT HAZEL'S LIVING ROOM - MOMENTS LATER,What did Hazel do while checking herself in the mirror?,Seemed to like what she sees a lot more than before,"ANGLE ON Hazel, checking herself out in the mirror. Seems to like what she sees a lot more than before",detailed description
21,23、INT GUS'S BASEMENT BEDROOM - SAME,"In [23、INT GUS'S BASEMENT BEDROOM - SAME], How does Hazel feel about the situation?",Genuinely confused,Hazel genuinely has no idea what the hell is going on.,character states
22,35、EXT PARK - LATER,"What sculpture do Hazel and Gus observe, and what is its description?",Giant white bones that children jump and play on,"They sit, looking out over a rather odd SCULPTURE - a set of GIANT WHITE BONES where children can jump and play.",detailed description
23,33、EXT HAZEL'S HOUSE - FRONT,What action does Michael take when Hazel exits the car?,Gets out of the passenger's seat to help her,Michael gets out of the passenger's seat to help Hazel out of the car,detailed description
24,61、INT AIRPORT - MOMENTS LATER,When does Hazel say 'Amsterdam!'?,After reinserting the cannula and closing her eyes,"She catches her mom looking at her, nervously. HAZEL (with some difficulty) Amsterdam!",temporal references
25,47、INT HAZEL'S BEDROOM - LATER | 49、INT HAZEL'S BEDROOM - LATER,Why does Hazel initially choose not to respond to Gus's first message?,"Hazel does not respond to Gus's first message because her parents are present and have just tucked her into bed, creating a context where she may feel observed or restricted in her communication.",Hazel's parents tuck her into bed and tell her they'll be right outside; Hazel nods and does not reply to the text from Gus that says 'ok?',causal/relational queries
26,4、EXT CHURCH - LATER | 33、EXT HAZEL'S HOUSE - FRONT | 35、EXT PARK - LATER,What does Hazel state about Gus's motivation for arranging the trip to Amsterdam?,Hazel states that she doubts Gus arranged the trip just so she would kiss him.,"Hazel pulls back from Gus and asks, 'Are you only doing this so I'll kiss you?', indicating her doubt about his motivation for arranging the trip.",character states
27,8、INT CHURCH - SAME | 21、INT HAZEL'S DINING ROOM - NIGHT,Why do Hazel's parents exchange a knowing glance when she receives a text from Gus?,"Hazel's parents exchange a knowing glance because they notice her smiling in response to the text, which indicates her growing interest in Gus.","Hazel receives a text from Gus asking if he has truly reached the end of the book. She smiles, unable to suppress her amusement. At the table, her parents, Frannie and Michael, exchange a knowing glance.",causal/relational queries
28,47、INT HAZEL'S BEDROOM - LATER | 21、INT HAZEL'S DINING ROOM - NIGHT,How does Hazel respond when she receives a text from Gus asking if he has truly reached the end of the book?,"Hazel smiles, unable to suppress her amusement.","Hazel receives a text from Gus asking if he has truly reached the end of the book. She smiles, unable to suppress her amusement.",character states
29,49、INT HAZEL'S BEDROOM - LATER | 8、INT CHURCH - SAME | 21、INT HAZEL'S DINING ROOM - NIGHT,Why does Hazel send a message telling Augustus she can't see him anymore?,"Hazel sends the message because she believes she will cause him emotional pain in the future due to her illness, and she wants to protect him from that suffering.","She texts him, 'I don't know if you'll understand this but I can't see you anymore. I mean I want to. I just...' Then she adds, 'I'm a grenade,' and sends it. After a pause, she sends another message: 'When I look at you, all I can see is what I'm going to put you through. I can't have that. I'm sorry.'",causal/relational queries
30,9、INT BATHROOM - SAME | 49、INT HAZEL'S BEDROOM - LATER | 47、INT HAZEL'S BEDROOM - LATER | 21、INT HAZEL'S DINING ROOM - NIGHT,What does Hazel state about herself in her text to Augustus?,Hazel states that she is a grenade.,"She texts him, 'I don't know if you'll understand this but I can't see you anymore. I mean I want to. I just...' Then she adds, 'I'm a grenade,' and sends it.",character states
31,49、INT HAZEL'S BEDROOM - LATER | 21、INT HAZEL'S DINING ROOM - NIGHT,How does Hazel respond when she reads Gus's text about the book ending mid-sentence?,Hazel bursts out laughing and is unable to contain her amusement.,"Hazel reads a third message from Gus, this one filled with exaggerated outrage over a book ending mid-sentence. She bursts out laughing, unable to contain her amusement.",character states
32,28、INT HAZEL'S BEDROOM - LATER THAT NIGHT | 35、EXT PARK - LATER,What does Gus state about Hazel in relation to his wish?,"Gus states that Hazel is his wish, meaning that meeting her was what he truly wanted all along.",Gus then tells her that she is his wish—that meeting her was what he truly wanted all along.,character states
33,27、INT GUS'S BASEMENT BEDROOM - SAME | 8、INT CHURCH - SAME | 21、INT HAZEL'S DINING ROOM - NIGHT,What does Gus state about how he feels after reading Hazel's book?,"Gus states that reading Hazel's book again felt like she had given him something important, like a gift.","He tells Hazel he read her book again and says it felt like she had given him something important, like a gift.",character states
34,19、EXT/INT GUS'S HOUSE - SAME,What does Gus say about the basketball memorabilia that are not his?,Gus says that the basketball memorabilia that are not his are just cancer perks.,"Gus points to a few items and says those are his, from when he actually played. The rest, he says, are just cancer perks.",character states
35,30、INT HAZEL'S BEDROOM - MORNING | 35、EXT PARK - LATER,What does Hazel state when she questions Gus's motivation for arranging the trip to Amsterdam?,Hazel states that she wonders if Gus is only doing it so she will kiss him.,"Hazel says, 'Are you only doing this so I'll kiss you?' after Gus reveals he arranged for them to travel to Amsterdam.",character states
36,10、INT CHURCH BASEMENT - LATER | 21、INT HAZEL'S DINING ROOM - NIGHT | 35、EXT PARK - LATER,What does Gus state about Hazel in relation to his wish?,Gus states that Hazel is his wish and that meeting her was what he truly wanted all along.,Gus then tells her that she is his wish—that meeting her was what he truly wanted all along.,character states
37,19、EXT/INT GUS'S HOUSE - SAME | 8、INT CHURCH - SAME | 21、INT HAZEL'S DINING ROOM - NIGHT,What does Gus state about Hazel's way of speaking?,Gus states that he loves it when Hazel talks in medical terms.,He smiled. 'Ooh Hazel Grace... I love it when you talk medical to me.',character states
38,25、INT LANCASTER HOUSE - DINING ROOM - ANOTHER NIGHT | 49、INT HAZEL'S BEDROOM - LATER | 8、INT CHURCH - SAME | 21、INT HAZEL'S DINING ROOM - NIGHT,How does Hazel respond when she receives a text from Gus asking if he has truly reached the end of the book?,"Hazel smiles, unable to suppress her amusement.","Hazel receives a text from Gus asking if he has truly reached the end of the book. She smiles, unable to suppress her amusement.",character states
39,19、EXT/INT GUS'S HOUSE - SAME | 18、INT GUS'S CAR - SAME | 19、EXT/INT GUS'S HOUSE - SAME,What does Gus say about the basketball memorabilia that are not his?,Gus says that the memorabilia that are not his are just cancer perks.,"Gus points to a few items and says those are his, from when he actually played. The rest, he says, are just cancer perks.",character states
