scene,question,answer,evidence,qa_type
34、INT. GARDEN VILLA,"In [34、INT. GARDEN VILLA], Who secures the bomb on the man's leg?",A Pakistani policeman,A BOMB is being strapped to a MAN'S leg by a PAKISTANI POLICEMAN.,objects/props
30、EXT. BLACK SITE - AFGHANISTAN,When does the monkey steal Daniel's ice cream?,After the CIA guard approaches Daniel,A CIA GUARD approaches Daniel... The monkey reaches through the bars and steals the remainder of Daniel's ice cream cone.,temporal references
23、INT. MAYA'S APARTMENT,"In [23、INT. MAYA'S APARTMENT], What is Maya's behavioral state as she packs?",Hastily packing,Maya hastily throws her clothes and a wig into a suitcase,character states
8、INT. AMERICAN EMBASSY CIA SECTION - MAYA'S CUBICLE,"In [8、INT. AMERICAN EMBASSY CIA SECTION - MAYA'S CUBICLE], What does Maya do after cleaning her desk?",She sits and looks at the blank log-in screen.,then sits and looks at the blank log-in screen of her computer,character states
53、INT. AMERICAN EMBASSY CIA SECTION - STATION CHIEF'S OFFICE -,Why does Maya suggest meeting the person face-to-face?,To evaluate him themselves.,We have to evaluate him face to face.,causal/relational queries
2、EXT. BLACK SITE - LATER,What action does Daniel perform with the ski mask at the door?,Hands the ski mask back to Maya,"At the door, Daniel hands the ski mask back to Maya",detailed description
5、EXT. DIPLOMATIC QUARTER - ISLAMABAD - DAY,"In [5、EXT. DIPLOMATIC QUARTER - ISLAMABAD - DAY], Where does Maya drive to?",Main gate of the United States Embassy in Islamabad,Maya drives through the checkpoint and up to the main gate,scene localization
2、EXT. BLACK SITE - LATER,What physical characteristics define Maya's appearance?,"Pale, milky innocence, bright blue eyes, thin, frail, and steely core","She has a pale, milky innocence and bright blue eyes, thin and somewhat frail looking, yet possessing a steely core",detailed description
3、INT. INTERROGATION ROOM - LATER,"In [3、INT. INTERROGATION ROOM - LATER], Where is Ammar restrained?",In a room with sound-proofed walls and puddles of water,"sound-proofed walls, the puddles of water on the floor",scene localization
61、EXT. CAMP CHAPMAN - GUARD POST,"In [61、EXT. CAMP CHAPMAN - GUARD POST], Where does the sedan drive into after passing the gate?",a maze of barriers,The sedan drives past the gate into a maze of barriers.,scene localization
