id,scene,question,answer,evidence,qa_type
43,66、INT. PARLOUR - NIGHT,What does Lestat say to Claudia when he enters the room?,"He tells her, 'Never in the house!'","LESTAT: Claudia, Claudia! Didn't I tell you, never in the house!",dialogue/beliefs
44,57、INT. CLAUDIA'S BEDROOM,"In [57、INT. CLAUDIA'S BEDROOM], What action does Claudia perform with the dolls?",Dressing and undressing them,"Mute and beautiful, she played with dolls, dressing them and undressing them by the hour.",objects/props
45,40、INT. BURNING MANSION - NIGHT,"In [40、INT. BURNING MANSION - NIGHT], Where does Louis see paintings of his wife consumed by flames?",In the burning mansion,wandering from room to room of the burning mansion,scene localization
46,39、EXT. MANSION - NIGHT,How does Louis ignite the interior of the mansion?,"goes from window to window, lighting drapes, lace curtains, everything","He goes from window to window, lighting drapes, lace curtains, everything.",detailed description
47,7、EXT. WATERFRONT - DAY,"In [7、EXT. WATERFRONT - DAY], What state does Louis describe experiencing after being left by someone?",Half dead,He left me half dead that morning.,character states
48,41、EXT. LARGE GRAVEYARD - DAWN,How is Louis being transported?,Carried over Lestat's shoulder,"Louis, unconscious, carried over Lestat's shoulder",detailed description
49,13、EXT. CEMETERY - NIGHT | 40、INT. BURNING MANSION - NIGHT | 47、INT. HOUSE - NIGHT,What does Lestat state about Louis's guilt and the child's fate?,Lestat states that Louis clings to his guilt and that the child would have died from the plague soon anyway.,"Lestat calls after Louis that he is what he is, mocks his love for guilt, and says the plague would have taken the child within hours.",character states
50,2、EXT. LOUISIANA - DAY | 13、EXT. CEMETERY - NIGHT | 17、INT. MANSION - NIGHT,What does Louis state about his reflection when he sees himself in the mirror?,Louis states that seeing his reflection cannot be real.,"Louis whispers that it cannot be real when he sees his unchanged, youthful appearance in the mirror.",character states
51,47、INT. HOUSE - NIGHT,What does Lestat state about Louis's attachment to guilt?,Lestat states that Louis is merciful for clinging to his guilt.,"Lestat calls after Louis, saying he is what he is, and laughs, calling him merciful for clinging to guilt.",character states
52,8、INT. LAVISH FRENCH-FURNISHED BEDROOM AT POINT DU LAC | 16、EXT. MANSION - NIGHT | 47、INT. HOUSE - NIGHT,What does Lestat state about Louis's guilt and the inevitability of Claudia's death?,Lestat states that Louis clings to his guilt and that Claudia would have died from the plague regardless.,"Lestat calls after Louis that he is what he is, and that the plague would have taken Claudia within hours anyway, referring to Louis's guilt as something he loves.",character states
53,45、INT. INN - EVENING | 26、EXT. LAWNS. NIGHT | 47、INT. HOUSE - NIGHT,What does Lestat state about Louis's feelings toward guilt?,Lestat states that Louis loves his precious guilt.,"Lestat calls after Louis, saying, 'Merciful Death, how you love your precious guilt.'",character states
54,7、EXT. WATERFRONT - DAY | 3、INT. WATERFRONT TAVERN - NIGHT,What does Louis do after the gambler lowers the gun?,"Louis collects the coins and bills from the table and puts them into his coat pockets, then stands at the table with a smile as the room resumes its noise.","Louis, his lace shirt torn open, laughs softly. He reaches across the table, gathering the coins and bills into his hands, stuffing them into his coat pockets... Louis straightens his coat, the smile still on his lips, and remains at the table as the room slowly returns to noise.",character states
55,3、INT. WATERFRONT TAVERN - NIGHT | 5、EXT. WHARF - NIGHT | 47、INT. HOUSE - NIGHT,What does Louis state about the gambler's courage during the confrontation at the gaming table?,Louis states that the gambler lacks the courage of his convictions.,"Louis leans forward and says, 'You lack the courage of your convictions, sir. Do it,' challenging the gambler who hesitates to shoot.",character states
56,2、EXT. LOUISIANA - DAY | 13、EXT. CEMETERY - NIGHT | 46、EXT. DANK NEW ORLEANS BACK STREETS - NIGHT,What does Louis state about his feelings toward the plague-stricken area as he continues forward?,"Louis expresses a bitter resignation toward the plague-stricken area, indicating he is unafraid and indifferent to its dangers.","Louis smiles bitterly, murmuring the words to himself, and continues forward despite the warning about the plague and the visible signs of death and disease.",character states
57,36、INT. DINING ROOM IN MANSION - NIGHT | 47、INT. HOUSE - NIGHT,What does Lestat state about himself in relation to Louis?,Lestat states that he is the only life Louis truly knows.,"Lestat demands that Louis respect him, insisting he is the only life Louis knows.",character states
58,13、EXT. CEMETERY - NIGHT | 41、EXT. LARGE GRAVEYARD - DAWN | 47、INT. HOUSE - NIGHT,What does Lestat state about Louis's guilt and the inevitability of Claudia's death?,Lestat states that Louis clings to his guilt and that Claudia would have died from the plague soon regardless.,"Lestat calls after Louis that he is what he is, mocks his love for guilt, and says the plague would have claimed Claudia within hours anyway.",character states
59,27、EXT. POINTE DU LAC - NIGHT | 16、EXT. MANSION - NIGHT | 47、INT. HOUSE - NIGHT,What does Lestat state about Louis's guilt and the inevitability of Claudia's death?,Lestat states that Louis loves his guilt and that Claudia would have died from the plague within hours anyway.,"Lestat calls after Louis that he is what he is, and that the plague would have got Claudia within hours anyway, calling Louis's guilt 'precious'.",character states
60,35、EXT. SLAVE-QUARTERS - NIGHT | 39、EXT. MANSION - NIGHT,What does Louis state about the slaves' freedom?,Louis states that the slaves are free men and tells them to get out while they can.,"Louis says, 'Get out while you can. You're free men.'",character states
61,1、INT. ROOM - NIGHT (SAN FRANCISCO),What does Louis state about his age and identity when speaking to Malloy?,Louis states that he is a vampire who has lived for over two hundred years and that he was twenty-four years old in 1791.,"Louis calmly declares he is a vampire, saying he has lived for over two hundred years, and states the year it happened: 1791. He was twenty-four years old at the time.",character states
62,3、INT. WATERFRONT TAVERN - NIGHT | 5、EXT. WHARF - NIGHT | 47、INT. HOUSE - NIGHT,What does Louis state about his desire for death when questioned by Lestat?,Louis states that he wants death.,"When Lestat asks if he truly wants death, Louis answers that he does.",character states
63,36、INT. DINING ROOM IN MANSION - NIGHT,What does Lestat state about his relationship to Louis before leaving?,Lestat states that he is the only life Louis truly knows.,"Lestat demands that Louis respect him in return, insisting he is the only life Louis truly knows.",character states
