scene,question,answer,evidence,qa_type
69、INT. FLAT - NIGHT,What does Claudia say when Lestat gives her another doll?,"Another doll? I have ten, you realize.","CLAUDIA: Another doll? I have ten, you realize.",dialogue/beliefs
6、INT. ROOM - SAN FRANCISCO,Why does Louis insist the Gift of Darkness requires more than Malloy's explanation?,To indicate Malloy's understanding is incomplete,"The Gift of Darkness requires more than that, as you'll see.",causal/relational queries
1、INT. ROOM - NIGHT (SAN FRANCISCO),"In [1、INT. ROOM - NIGHT (SAN FRANCISCO)], What is Louis's identity?",A vampire.,I'm a vampire.,character states
47、INT. HOUSE - NIGHT,What is the 'plague' mentioned in the passage?,A disease that would have killed the mother within hours.,LESTAT: 'The plague would have got her within hours anyway.',terminology/abbreviation/concept
48、EXT. STREETS - NIGHT,What belief does Louis express about peace?,Peace is found through killing and hearing a heart's rhythm.,I knew peace only when I killed and when I heard her heart in that terrible rhythm I knew again what peace could be.,dialogue/beliefs
44、EXT. NEW ORLEANS - EVENING,What is the setting of the scene?,"From the sea at evening, shrouded in mist.","From the sea, at evening, shrouded in mist.",detailed description
30、EXT. CHICKEN-COOP - NIGHT,What is the condition of the chickens in the scene?,Bloodied necks hanging down from the cribs,"Every chicken is dead, bloodies necks hanging down from the cribs",detailed description
37、EXT. SLAVE QUARTERS - NIGHT,What action does Lestat take that causes the drumming to stop?,"Lestat rides through, scattering the flames.","Lestat rides through, scattering the flames.",detailed description
3、INT. WATERFRONT TAVERN - NIGHT,When does Louis pocket the coins?,After the gambler lowers his gun,"The Gambler lowers his gun, scowling. Louis pockets the fistfulls of coins he has won.",temporal references
8、INT. LAVISH FRENCH-FURNISHED BEDROOM AT POINT DU LAC,"In [8、INT. LAVISH FRENCH-FURNISHED BEDROOM AT POINT DU LAC], Where is Louis when he is delirious?",In a room with a four-poster bed shrouded in mosquito netting,"Louis is delirious in a four-poster bed, shrouded with mosquito netting",scene localization
74、INT. CATHEDRAL - NIGHT,What belief does Louis express about himself in the cathedral?,He believes he is the supernatural in the cathedral.,I was the supernatural in this cathedral.,dialogue/beliefs
36、INT. DINING ROOM IN MANSION - NIGHT,How does Lestat leave the scene after their argument?,humming a French aria,"He walks out, humming a French aria.",detailed description
31、EXT. SLAVE QUARTER - NIGHT,What do others do at the doorways during the scene?,Restrain and console the woman,restrain and console her,detailed description
12、EXT. POINTE DU LAC - NIGHT,"In [12、EXT. POINTE DU LAC - NIGHT], Why does Lestat want Louis?",Because Louis is as strong as he was when alive,LESTAT: 'Because you're as strong as I was when I was alive',causal/relational queries
16、EXT. MANSION - NIGHT,What causes Louis to feel guilt and regret?,His act of killing.,I was drowning in a sea of human guilt and regret...,causal/relational queries
66、INT. PARLOUR - NIGHT,What does Lestat say to Claudia when he enters the room?,"He tells her, 'Never in the house!'","LESTAT: Claudia, Claudia! Didn't I tell you, never in the house!",dialogue/beliefs
57、INT. CLAUDIA'S BEDROOM,"In [57、INT. CLAUDIA'S BEDROOM], What action does Claudia perform with the dolls?",Dressing and undressing them,"Mute and beautiful, she played with dolls, dressing them and undressing them by the hour.",objects/props
40、INT. BURNING MANSION - NIGHT,"In [40、INT. BURNING MANSION - NIGHT], Where does Louis see paintings of his wife consumed by flames?",In the burning mansion,wandering from room to room of the burning mansion,scene localization
39、EXT. MANSION - NIGHT,How does Louis ignite the interior of the mansion?,"goes from window to window, lighting drapes, lace curtains, everything","He goes from window to window, lighting drapes, lace curtains, everything.",detailed description
7、EXT. WATERFRONT - DAY,"In [7、EXT. WATERFRONT - DAY], What state does Louis describe experiencing after being left by someone?",Half dead,He left me half dead that morning.,character states
41、EXT. LARGE GRAVEYARD - DAWN,How is Louis being transported?,Carried over Lestat's shoulder,"Louis, unconscious, carried over Lestat's shoulder",detailed description
